notebook,cellIndex,importedModule,calledFunction,definitionPath,definitionLine,functionSignature,ownerAgent,inputType,outputType,sideEffects,testPath,implementationStatus
DSJA/project_4/crawl/notebooks/01CollectLinkareerIndex.ipynb,0,p4_crawl.stage,write_stage_artifacts,crawl/src/p4_crawl/stage.py,46,"write_stage_artifacts(*, config, stage_id: str, schema_version: str, started_at: str, parameters: dict[str, Any], input_manifest_path: Path, stage_root: Path, metric_values: dict[str, Any], quality_rows: list[dict[str, Any]], persisted_files: list[Path], warnings: list[str] | None=None, errors: list[str] | None=None, branch: str='agent/p4-crawl-release-v2')",P4-A1-SOURCE,,dict,file-write;network-capable,,IMPLEMENTED_UNTESTED
DSJA/project_4/crawl/notebooks/02CollectPostingDetail.ipynb,3,p4_crawl.config,RunConfig,crawl/src/p4_crawl/config.py,36,RunConfig,P4-A1-SOURCE,class,unspecified,file-write,crawl/tests/test_release.py,IMPLEMENTED_AND_TESTED
DSJA/project_4/crawl/notebooks/02CollectPostingDetail.ipynb,0,p4_crawl.observed,audit_input_manifest,crawl/src/p4_crawl/observed.py,41,"audit_input_manifest(project_root: Path, relative_path: str, expected_release_id: str)",P4-A1-SOURCE,Path;str;str,dict,network-capable,,IMPLEMENTED_UNTESTED
DSJA/project_4/crawl/notebooks/02CollectPostingDetail.ipynb,0,p4_crawl.observed,replay_observed_raw,crawl/src/p4_crawl/observed.py,121,"replay_observed_raw(project_root: Path, observed_root: Path, output_root: Path)",P4-A1-SOURCE,Path;Path;Path,dict,file-write;network-capable,,IMPLEMENTED_UNTESTED
DSJA/project_4/crawl/notebooks/02CollectPostingDetail.ipynb,3,p4_crawl.observed,require_repository_relative,crawl/src/p4_crawl/observed.py,34,require_repository_relative(value: str),P4-A1-SOURCE,str,Path,none-detected,,IMPLEMENTED_UNTESTED
DSJA/project_4/crawl/notebooks/02CollectPostingDetail.ipynb,0,p4_crawl.stage,write_stage_artifacts,crawl/src/p4_crawl/stage.py,46,"write_stage_artifacts(*, config, stage_id: str, schema_version: str, started_at: str, parameters: dict[str, Any], input_manifest_path: Path, stage_root: Path, metric_values: dict[str, Any], quality_rows: list[dict[str, Any]], persisted_files: list[Path], warnings: list[str] | None=None, errors: list[str] | None=None, branch: str='agent/p4-crawl-release-v2')",P4-A1-SOURCE,,dict,file-write;network-capable,,IMPLEMENTED_UNTESTED
DSJA/project_4/crawl/notebooks/03CollectPostingAssets.ipynb,3,p4_crawl.config,RunConfig,crawl/src/p4_crawl/config.py,36,RunConfig,P4-A1-SOURCE,class,unspecified,file-write,crawl/tests/test_release.py,IMPLEMENTED_AND_TESTED
DSJA/project_4/crawl/notebooks/03CollectPostingAssets.ipynb,0,p4_crawl.observed,audit_input_manifest,crawl/src/p4_crawl/observed.py,41,"audit_input_manifest(project_root: Path, relative_path: str, expected_release_id: str)",P4-A1-SOURCE,Path;str;str,dict,network-capable,,IMPLEMENTED_UNTESTED
DSJA/project_4/crawl/notebooks/03CollectPostingAssets.ipynb,3,p4_crawl.observed,require_repository_relative,crawl/src/p4_crawl/observed.py,34,require_repository_relative(value: str),P4-A1-SOURCE,str,Path,none-detected,,IMPLEMENTED_UNTESTED
DSJA/project_4/crawl/notebooks/03CollectPostingAssets.ipynb,0,p4_crawl.observed,route_observed_asset_metadata,crawl/src/p4_crawl/observed.py,165,"route_observed_asset_metadata(detail_replay_path: Path, output_root: Path)",P4-A1-SOURCE,Path;Path,dict,file-write;network-capable,,IMPLEMENTED_UNTESTED
DSJA/project_4/crawl/notebooks/03CollectPostingAssets.ipynb,0,p4_crawl.stage,write_stage_artifacts,crawl/src/p4_crawl/stage.py,46,"write_stage_artifacts(*, config, stage_id: str, schema_version: str, started_at: str, parameters: dict[str, Any], input_manifest_path: Path, stage_root: Path, metric_values: dict[str, Any], quality_rows: list[dict[str, Any]], persisted_files: list[Path], warnings: list[str] | None=None, errors: list[str] | None=None, branch: str='agent/p4-crawl-release-v2')",P4-A1-SOURCE,,dict,file-write;network-capable,,IMPLEMENTED_UNTESTED
DSJA/project_4/crawl/notebooks/04BuildCrawlRelease.ipynb,3,p4_crawl.config,RunConfig,crawl/src/p4_crawl/config.py,36,RunConfig,P4-A1-SOURCE,class,unspecified,file-write,crawl/tests/test_release.py,IMPLEMENTED_AND_TESTED
DSJA/project_4/crawl/notebooks/04BuildCrawlRelease.ipynb,7,p4_crawl.storage,atomic_write_json,crawl/src/p4_crawl/storage.py,45,"atomic_write_json(path: Path, value: Any, *, immutable: bool=False)",P4-A1-SOURCE,Path;Any,None,file-write,,IMPLEMENTED_UNTESTED
DSJA/project_4/crawl/notebooks/04BuildCrawlRelease.ipynb,0,p4_crawl.observed,audit_input_manifest,crawl/src/p4_crawl/observed.py,41,"audit_input_manifest(project_root: Path, relative_path: str, expected_release_id: str)",P4-A1-SOURCE,Path;str;str,dict,network-capable,,IMPLEMENTED_UNTESTED
DSJA/project_4/crawl/notebooks/04BuildCrawlRelease.ipynb,0,p4_crawl.observed,invoke_agent2_validator,crawl/src/p4_crawl/observed.py,261,"invoke_agent2_validator(project_root: Path, release_handoff: Path)",P4-A1-SOURCE,Path;Path,dict,network-capable,,IMPLEMENTED_UNTESTED
DSJA/project_4/crawl/notebooks/04BuildCrawlRelease.ipynb,3,p4_crawl.observed,require_repository_relative,crawl/src/p4_crawl/observed.py,34,require_repository_relative(value: str),P4-A1-SOURCE,str,Path,none-detected,,IMPLEMENTED_UNTESTED
DSJA/project_4/crawl/notebooks/04BuildCrawlRelease.ipynb,0,p4_crawl.observed,validate_observed_package,crawl/src/p4_crawl/observed.py,203,validate_observed_package(observed_root: Path),P4-A1-SOURCE,Path,dict,none-detected,,IMPLEMENTED_UNTESTED
DSJA/project_4/crawl/notebooks/04BuildCrawlRelease.ipynb,0,p4_crawl.stage,write_stage_artifacts,crawl/src/p4_crawl/stage.py,46,"write_stage_artifacts(*, config, stage_id: str, schema_version: str, started_at: str, parameters: dict[str, Any], input_manifest_path: Path, stage_root: Path, metric_values: dict[str, Any], quality_rows: list[dict[str, Any]], persisted_files: list[Path], warnings: list[str] | None=None, errors: list[str] | None=None, branch: str='agent/p4-crawl-release-v2')",P4-A1-SOURCE,,dict,file-write;network-capable,,IMPLEMENTED_UNTESTED
DSJA/project_4/crawl/notebooks/P4_Notebook_First_Master.ipynb,2,crawl.control.notebook_bundle,audit_source_bundle,crawl/control/notebook_bundle.py,270,audit_source_bundle(project_root: str | Path),P4-A3-CONTROL,str | Path,"list[dict[str, Any]]",none-detected,,IMPLEMENTED_UNTESTED
DSJA/project_4/crawl/notebooks/P4_Notebook_First_Master.ipynb,2,crawl.control.notebook_bundle,collect_stage_manifests,crawl/control/notebook_bundle.py,411,collect_stage_manifests(run_root: str | Path),P4-A3-CONTROL,str | Path,"list[dict[str, Any]]",network-capable,,IMPLEMENTED_UNTESTED
DSJA/project_4/crawl/notebooks/P4_Notebook_First_Master.ipynb,2,crawl.control.notebook_bundle,execute_notebook_plan,crawl/control/notebook_bundle.py,391,"execute_notebook_plan(project_root: str | Path, run_root: str | Path, include_master: bool=False, fail_fast: bool=True)",P4-A3-CONTROL,str | Path;str | Path;bool;bool,"list[dict[str, Any]]",file-write,,IMPLEMENTED_UNTESTED
DSJA/project_4/crawl/notebooks/P4_Notebook_First_Master.ipynb,2,crawl.control.notebook_bundle,git_head,crawl/control/notebook_bundle.py,86,git_head(project_root: str | Path),P4-A3-CONTROL,str | Path,str,subprocess,,IMPLEMENTED_UNTESTED
DSJA/project_4/crawl/notebooks/P4_Notebook_First_Master.ipynb,2,crawl.control.notebook_bundle,load_stage_registry,crawl/control/notebook_bundle.py,94,load_stage_registry(project_root: str | Path),P4-A3-CONTROL,str | Path,"dict[str, Any]",none-detected,,IMPLEMENTED_UNTESTED
DSJA/project_4/crawl/notebooks/P4_Notebook_First_Master.ipynb,2,crawl.control.notebook_bundle,repository_architecture,crawl/control/notebook_bundle.py,101,repository_architecture(project_root: str | Path),P4-A3-CONTROL,str | Path,"list[dict[str, Any]]",none-detected,,IMPLEMENTED_UNTESTED
DSJA/project_4/crawl/notebooks/P4_Notebook_First_Master.ipynb,2,crawl.control.notebook_bundle,resolve_project_root,crawl/control/notebook_bundle.py,75,resolve_project_root(start: str | Path | None=None),P4-A3-CONTROL,str | Path | None,Path,none-detected,,IMPLEMENTED_UNTESTED
DSJA/project_4/crawl/notebooks/P4_Notebook_First_Master.ipynb,2,crawl.control.notebook_bundle,sha256_file,crawl/control/notebook_bundle.py,67,sha256_file(path: str | Path),P4-A3-CONTROL,str | Path,str,none-detected,,IMPLEMENTED_UNTESTED
DSJA/project_4/crawl/notebooks/P4_Notebook_First_Master.ipynb,2,crawl.control.notebook_bundle,write_master_stage_artifacts,crawl/control/notebook_bundle.py,438,"write_master_stage_artifacts(output_root: str | Path, project_root: str | Path, source_audit: Sequence[Mapping[str, Any]], executions: Sequence[Mapping[str, Any]], manifests: Sequence[Mapping[str, Any]])",P4-A3-CONTROL,"str | Path;str | Path;Sequence[Mapping[str, Any]];Sequence[Mapping[str, Any]];Sequence[Mapping[str, Any]]","dict[str, str]",file-write;network-capable,,IMPLEMENTED_UNTESTED
