notebookPath,cellIndex,cellId,cellType,tags,executionCount,outputCount,sourceSha256,lineCount,purpose,imports,functionDefinitions,classDefinitions,functionCalls,fileReads,fileWrites,networkCalls,subprocessCalls,environmentVariables,databaseReads,databaseWrites,gateChecks,exceptionsRaised
DSJA/project_4/crawl/notebooks/00RecoverSourceState.ipynb,10,a1-00-recover-interpretation,markdown,,,0,50d55123aec649835236c8f2fbb4ff730f7e784f57c650fd64cce49adbf5d480,1,Observed-development interpretation: Observed input is partial and cannot be promoted to empirical analysis. Analysis and production readiness remain disabled.,,,,,,,,,,,,,
DSJA/project_4/crawl/notebooks/01CollectLinkareerIndex.ipynb,0,a1-01-index-title,markdown,,,0,56125f9a91944bc7251d5d1db30d2bca589e2554d8e26641fb9479a7ccc3625f,12,01CollectLinkareerIndex,,,,,,,,,,,,,
DSJA/project_4/crawl/notebooks/01CollectLinkareerIndex.ipynb,1,a1-01-index-parameters,code,parameters,,0,b0468a2c63b4860576f1881706913dcd67e3db9cb932e85455848c224a26c806,13,"RUN_MODE = ""observed-dev""",,,,,,,,,,,,,
DSJA/project_4/crawl/notebooks/01CollectLinkareerIndex.ipynb,2,a1-01-index-environment-title,markdown,,,0,0bb7c2d4f4d8e03c3f6c1d1ca986de2d065048fddbba135b4d329f1a22ee4605,1,Imports and isolated observed-development environment,,,,,,,,,,,,,
DSJA/project_4/crawl/notebooks/01CollectLinkareerIndex.ipynb,3,a1-01-index-environment,code,,,0,5ec82c4a1bd529b115a3be70a2ca265be59061188916670af497c6dd53f020bd,47,from pathlib import Path,p4_crawl.config;p4_crawl.observed;pathlib;sys,locate_project_root;quality_row,,Path;Path.cwd;RunConfig;RuntimeError;as_posix;globals;is_dir;locate_project_root;relative_to;require_repository_relative;start.resolve;startswith;str;sys.path.insert,,,,,,,,"CONTRACT_VERSION == ""2.1.2"";CRAWL_RELEASE_ID == ""CRAWL_20260806_03"";EMPIRICAL_ANALYSIS_ALLOWED is False;Path(OUTPUT_ROOT).as_posix().startswith(""crawl/runs/notebooks/observed-dev/"");RUN_MODE == ""observed-dev""",RuntimeError
DSJA/project_4/crawl/notebooks/01CollectLinkareerIndex.ipynb,4,a1-01-index-audit-title,markdown,,,0,8f0d3361e51034b512bd6c20104b3d2e9945a133e5953ad5acb1127e63911b9f,1,Input and checksum audit,,,,,,,,,,,,,
DSJA/project_4/crawl/notebooks/01CollectLinkareerIndex.ipynb,5,a1-01-index-audit,code,,,0,26dc64c7c3276dbfeb763183eba01fe8fb4b8d83b18885be94bd4ea7a65bd651,5,from p4_crawl.observed import audit_input_manifest,p4_crawl.observed,,,audit_input_manifest,,,,,,,,"input_audit[""contractVersion""] == CONTRACT_VERSION",
DSJA/project_4/crawl/notebooks/01CollectLinkareerIndex.ipynb,6,a1-01-index-operation-title,markdown,,,0,036df9977c5c021077b1e6303ed253fa68b2669ceda5db37070f58f21b4b62a2,1,Stage module call,,,,,,,,,,,,,
DSJA/project_4/crawl/notebooks/01CollectLinkareerIndex.ipynb,7,a1-01-index-operation,code,,,0,25cb18cce51a3fdb411f538e1b8e2baf7e5887f813ccb44bbd9d7e5c4c701349,9,STAGE_WARNING = 'Fixture APQ success is not monthly production coverage.',p4_crawl.observed,,,quality_row;run_fixture_apq_query,,,,,,,,,
DSJA/project_4/crawl/notebooks/01CollectLinkareerIndex.ipynb,8,a1-01-index-finalize-title,markdown,,,0,800d9b24a42962e2cb39ddc1f1a06545b56d3e6977616ed5444be546a01abdd7,1,Termination artifacts and gate result,,,,,,,,,,,,,
DSJA/project_4/crawl/notebooks/01CollectLinkareerIndex.ipynb,9,a1-01-index-finalize,code,,,0,120388430c87ccbf48c5d1615b49aa6ae63351d0a7a59849644a59d05b449f2c,12,from p4_crawl.stage import write_stage_artifacts,p4_crawl.stage,,,RuntimeError;any;write_stage_artifacts,,write_stage_artifacts(),,,,,,,RuntimeError
DSJA/project_4/crawl/notebooks/01CollectLinkareerIndex.ipynb,10,a1-01-index-interpretation,markdown,,,0,0a74b227b73a84ac9eb7b641e0b52876f5eaf9e936f3c466f84ef3b0a32099ba,1,Observed-development interpretation: Fixture APQ success is not monthly production coverage. Analysis and production readiness remain disabled.,,,,,,,,,,,,,
DSJA/project_4/crawl/notebooks/02CollectPostingDetail.ipynb,0,a1-02-detail-title,markdown,,,0,b5655ce92a08063013d2bc3bbaa6781b83c45594ae95216fc7111b67c6c0249a,12,02CollectPostingDetail,,,,,,,,,,,,,
DSJA/project_4/crawl/notebooks/02CollectPostingDetail.ipynb,1,a1-02-detail-parameters,code,parameters,,0,a8091bb728dec8ad54fed4468052dc220ebc7f0ea7b34052b4c850ff5383fc6c,13,"RUN_MODE = ""observed-dev""",,,,,,,,,,,,,
DSJA/project_4/crawl/notebooks/02CollectPostingDetail.ipynb,2,a1-02-detail-environment-title,markdown,,,0,0bb7c2d4f4d8e03c3f6c1d1ca986de2d065048fddbba135b4d329f1a22ee4605,1,Imports and isolated observed-development environment,,,,,,,,,,,,,
DSJA/project_4/crawl/notebooks/02CollectPostingDetail.ipynb,3,a1-02-detail-environment,code,,,0,5ec82c4a1bd529b115a3be70a2ca265be59061188916670af497c6dd53f020bd,47,from pathlib import Path,p4_crawl.config;p4_crawl.observed;pathlib;sys,locate_project_root;quality_row,,Path;Path.cwd;RunConfig;RuntimeError;as_posix;globals;is_dir;locate_project_root;relative_to;require_repository_relative;start.resolve;startswith;str;sys.path.insert,,,,,,,,"CONTRACT_VERSION == ""2.1.2"";CRAWL_RELEASE_ID == ""CRAWL_20260806_03"";EMPIRICAL_ANALYSIS_ALLOWED is False;Path(OUTPUT_ROOT).as_posix().startswith(""crawl/runs/notebooks/observed-dev/"");RUN_MODE == ""observed-dev""",RuntimeError
DSJA/project_4/crawl/notebooks/02CollectPostingDetail.ipynb,4,a1-02-detail-audit-title,markdown,,,0,8f0d3361e51034b512bd6c20104b3d2e9945a133e5953ad5acb1127e63911b9f,1,Input and checksum audit,,,,,,,,,,,,,
DSJA/project_4/crawl/notebooks/02CollectPostingDetail.ipynb,5,a1-02-detail-audit,code,,,0,26dc64c7c3276dbfeb763183eba01fe8fb4b8d83b18885be94bd4ea7a65bd651,5,from p4_crawl.observed import audit_input_manifest,p4_crawl.observed,,,audit_input_manifest,,,,,,,,"input_audit[""contractVersion""] == CONTRACT_VERSION",
DSJA/project_4/crawl/notebooks/02CollectPostingDetail.ipynb,6,a1-02-detail-operation-title,markdown,,,0,036df9977c5c021077b1e6303ed253fa68b2669ceda5db37070f58f21b4b62a2,1,Stage module call,,,,,,,,,,,,,
DSJA/project_4/crawl/notebooks/02CollectPostingDetail.ipynb,7,a1-02-detail-operation,code,,,0,60c73e1c14afbf5be778c800561d0c71e498186202b2ba6e6d53379f16f602b9,11,STAGE_WARNING = 'Only the 29 observed raw pages are replayed; this is not full-corpus detail coverage.',p4_crawl.observed,,,quality_row;replay_observed_raw,,,,,,,,,
DSJA/project_4/crawl/notebooks/02CollectPostingDetail.ipynb,8,a1-02-detail-finalize-title,markdown,,,0,800d9b24a42962e2cb39ddc1f1a06545b56d3e6977616ed5444be546a01abdd7,1,Termination artifacts and gate result,,,,,,,,,,,,,
DSJA/project_4/crawl/notebooks/02CollectPostingDetail.ipynb,9,a1-02-detail-finalize,code,,,0,120388430c87ccbf48c5d1615b49aa6ae63351d0a7a59849644a59d05b449f2c,12,from p4_crawl.stage import write_stage_artifacts,p4_crawl.stage,,,RuntimeError;any;write_stage_artifacts,,write_stage_artifacts(),,,,,,,RuntimeError
DSJA/project_4/crawl/notebooks/02CollectPostingDetail.ipynb,10,a1-02-detail-interpretation,markdown,,,0,15bda55efa73bc43780bd6f3efe8314091f9f3a110423185e648a5b085443a14,1,Observed-development interpretation: Only the 29 observed raw pages are replayed; this is not full-corpus detail coverage. Analysis and production readiness remain disabled.,,,,,,,,,,,,,
DSJA/project_4/crawl/notebooks/03CollectPostingAssets.ipynb,0,a1-03-asset-title,markdown,,,0,2c9f7576aad0adda84af8de96bec54206562aa3e1570356a382dbc409f12d955,12,03CollectPostingAssets,,,,,,,,,,,,,
DSJA/project_4/crawl/notebooks/03CollectPostingAssets.ipynb,1,a1-03-asset-parameters,code,parameters,,0,279edae4df4f4c6257cc56d8f07e86f6ae95c00f29c8e374559c87e1f318164e,13,"RUN_MODE = ""observed-dev""",,,,,,,,,,,,,
DSJA/project_4/crawl/notebooks/03CollectPostingAssets.ipynb,2,a1-03-asset-environment-title,markdown,,,0,0bb7c2d4f4d8e03c3f6c1d1ca986de2d065048fddbba135b4d329f1a22ee4605,1,Imports and isolated observed-development environment,,,,,,,,,,,,,
DSJA/project_4/crawl/notebooks/03CollectPostingAssets.ipynb,3,a1-03-asset-environment,code,,,0,5ec82c4a1bd529b115a3be70a2ca265be59061188916670af497c6dd53f020bd,47,from pathlib import Path,p4_crawl.config;p4_crawl.observed;pathlib;sys,locate_project_root;quality_row,,Path;Path.cwd;RunConfig;RuntimeError;as_posix;globals;is_dir;locate_project_root;relative_to;require_repository_relative;start.resolve;startswith;str;sys.path.insert,,,,,,,,"CONTRACT_VERSION == ""2.1.2"";CRAWL_RELEASE_ID == ""CRAWL_20260806_03"";EMPIRICAL_ANALYSIS_ALLOWED is False;Path(OUTPUT_ROOT).as_posix().startswith(""crawl/runs/notebooks/observed-dev/"");RUN_MODE == ""observed-dev""",RuntimeError
DSJA/project_4/crawl/notebooks/03CollectPostingAssets.ipynb,4,a1-03-asset-audit-title,markdown,,,0,8f0d3361e51034b512bd6c20104b3d2e9945a133e5953ad5acb1127e63911b9f,1,Input and checksum audit,,,,,,,,,,,,,
DSJA/project_4/crawl/notebooks/03CollectPostingAssets.ipynb,5,a1-03-asset-audit,code,,,0,26dc64c7c3276dbfeb763183eba01fe8fb4b8d83b18885be94bd4ea7a65bd651,5,from p4_crawl.observed import audit_input_manifest,p4_crawl.observed,,,audit_input_manifest,,,,,,,,"input_audit[""contractVersion""] == CONTRACT_VERSION",
DSJA/project_4/crawl/notebooks/03CollectPostingAssets.ipynb,6,a1-03-asset-operation-title,markdown,,,0,036df9977c5c021077b1e6303ed253fa68b2669ceda5db37070f58f21b4b62a2,1,Stage module call,,,,,,,,,,,,,
DSJA/project_4/crawl/notebooks/03CollectPostingAssets.ipynb,7,a1-03-asset-operation,code,,,0,d9ed0a7157c383903b6059f521d2192f692860f2807d6ea14c5eff65abb12c7d,11,STAGE_WARNING = 'Asset candidates are metadata-only; no Linkareer asset or external ATS URL is fetched.',p4_crawl.observed,,,quality_row;route_observed_asset_metadata,,,,,,,,,
DSJA/project_4/crawl/notebooks/03CollectPostingAssets.ipynb,8,a1-03-asset-finalize-title,markdown,,,0,800d9b24a42962e2cb39ddc1f1a06545b56d3e6977616ed5444be546a01abdd7,1,Termination artifacts and gate result,,,,,,,,,,,,,
DSJA/project_4/crawl/notebooks/03CollectPostingAssets.ipynb,9,a1-03-asset-finalize,code,,,0,120388430c87ccbf48c5d1615b49aa6ae63351d0a7a59849644a59d05b449f2c,12,from p4_crawl.stage import write_stage_artifacts,p4_crawl.stage,,,RuntimeError;any;write_stage_artifacts,,write_stage_artifacts(),,,,,,,RuntimeError
DSJA/project_4/crawl/notebooks/03CollectPostingAssets.ipynb,10,a1-03-asset-interpretation,markdown,,,0,d7b263602b84f100de002e772c5d3134ec15cfb2c7ed049e37ee7e711141e2f9,1,Observed-development interpretation: Asset candidates are metadata-only; no Linkareer asset or external ATS URL is fetched. Analysis and production readiness remain disabled.,,,,,,,,,,,,,
DSJA/project_4/crawl/notebooks/04BuildCrawlRelease.ipynb,0,a1-04-release-title,markdown,,,0,ae0c33291833f1eb0b246f91f366dd4960da7a1ecb1ee6bd119fc972c42e4492,12,04BuildCrawlRelease,,,,,,,,,,,,,
DSJA/project_4/crawl/notebooks/04BuildCrawlRelease.ipynb,1,a1-04-release-parameters,code,parameters,,0,b69ded9f4a4cbc4560617294fb33aa0134176d9fa937921553e3b57c6e9550db,13,"RUN_MODE = ""observed-dev""",,,,,,,,,,,,,
DSJA/project_4/crawl/notebooks/04BuildCrawlRelease.ipynb,2,a1-04-release-environment-title,markdown,,,0,0bb7c2d4f4d8e03c3f6c1d1ca986de2d065048fddbba135b4d329f1a22ee4605,1,Imports and isolated observed-development environment,,,,,,,,,,,,,
DSJA/project_4/crawl/notebooks/04BuildCrawlRelease.ipynb,3,a1-04-release-environment,code,,,0,5ec82c4a1bd529b115a3be70a2ca265be59061188916670af497c6dd53f020bd,47,from pathlib import Path,p4_crawl.config;p4_crawl.observed;pathlib;sys,locate_project_root;quality_row,,Path;Path.cwd;RunConfig;RuntimeError;as_posix;globals;is_dir;locate_project_root;relative_to;require_repository_relative;start.resolve;startswith;str;sys.path.insert,,,,,,,,"CONTRACT_VERSION == ""2.1.2"";CRAWL_RELEASE_ID == ""CRAWL_20260806_03"";EMPIRICAL_ANALYSIS_ALLOWED is False;Path(OUTPUT_ROOT).as_posix().startswith(""crawl/runs/notebooks/observed-dev/"");RUN_MODE == ""observed-dev""",RuntimeError
DSJA/project_4/crawl/notebooks/04BuildCrawlRelease.ipynb,4,a1-04-release-audit-title,markdown,,,0,8f0d3361e51034b512bd6c20104b3d2e9945a133e5953ad5acb1127e63911b9f,1,Input and checksum audit,,,,,,,,,,,,,
DSJA/project_4/crawl/notebooks/04BuildCrawlRelease.ipynb,5,a1-04-release-audit,code,,,0,26dc64c7c3276dbfeb763183eba01fe8fb4b8d83b18885be94bd4ea7a65bd651,5,from p4_crawl.observed import audit_input_manifest,p4_crawl.observed,,,audit_input_manifest,,,,,,,,"input_audit[""contractVersion""] == CONTRACT_VERSION",
DSJA/project_4/crawl/notebooks/04BuildCrawlRelease.ipynb,6,a1-04-release-operation-title,markdown,,,0,036df9977c5c021077b1e6303ed253fa68b2669ceda5db37070f58f21b4b62a2,1,Stage module call,,,,,,,,,,,,,
DSJA/project_4/crawl/notebooks/04BuildCrawlRelease.ipynb,7,a1-04-release-operation,code,,,0,5568b6f0e60b7e46101dd1db997b92245b7964b3b80ca70cf36c4cb577f9e8b1,15,STAGE_WARNING = 'CRAWL_RELEASE_READY remains NOT_EVALUATED; observed validation cannot promote a production release.',p4_crawl.observed;p4_crawl.storage,,,atomic_write_json;invoke_agent2_validator;quality_row;validate_observed_package,,"atomic_write_json(STAGE_ROOT / ""agent2_validator_result.json"");atomic_write_json(STAGE_ROOT / ""observed_package_validation.json"")",,,,,,,
DSJA/project_4/crawl/notebooks/04BuildCrawlRelease.ipynb,8,a1-04-release-finalize-title,markdown,,,0,800d9b24a42962e2cb39ddc1f1a06545b56d3e6977616ed5444be546a01abdd7,1,Termination artifacts and gate result,,,,,,,,,,,,,
DSJA/project_4/crawl/notebooks/04BuildCrawlRelease.ipynb,9,a1-04-release-finalize,code,,,0,120388430c87ccbf48c5d1615b49aa6ae63351d0a7a59849644a59d05b449f2c,12,from p4_crawl.stage import write_stage_artifacts,p4_crawl.stage,,,RuntimeError;any;write_stage_artifacts,,write_stage_artifacts(),,,,,,,RuntimeError
DSJA/project_4/crawl/notebooks/04BuildCrawlRelease.ipynb,10,a1-04-release-interpretation,markdown,,,0,f02aeec7c63114758683e46b63e8bd3f55d481a000b11eae7edb3b681c43476c,1,Observed-development interpretation: CRAWL_RELEASE_READY remains NOT_EVALUATED; observed validation cannot promote a production release. Analysis and production readiness remain disabled.,,,,,,,,,,,,,
DSJA/project_4/crawl/notebooks/P4_Notebook_First_Master.ipynb,0,a3-master-title,markdown,,,0,022481c64c92fd0bd7aba070a5a63bc24856003619ded9b4dfaaba8bd108c90e,12,P4 Notebook-First Master — observed-development,,,,,,,,,,,,,
DSJA/project_4/crawl/notebooks/P4_Notebook_First_Master.ipynb,1,a3-master-parameters,code,parameters,,0,10e3c24faff3f266b3edf4531ccbe31f33e98aca400db647b0f28409aa42589c,13,"RUN_MODE = ""observed-dev""",,,,,,,,,,,,,
DSJA/project_4/crawl/notebooks/P4_Notebook_First_Master.ipynb,2,a3-master-environment,code,,,0,283bca07dee1100011b1d53f7d8517dc100330fc567b3973d3a66a3aa5a5c2f6,28,import platform,crawl.control.notebook_bundle;pathlib;platform;sys,,,CONTRACT_PATH.relative_to;Path.cwd;git_head;platform.platform;resolve_project_root;sha256_file;str;sys.version.split,,,,,,,,,
DSJA/project_4/crawl/notebooks/P4_Notebook_First_Master.ipynb,3,a3-master-input-audit,code,,,0,d2e36cf171c52af9e6cab9b6ef0af620284a18d319bc2dc0e5d04aafa604d17c,15,registry = load_stage_registry(PROJECT_ROOT),,,,RuntimeError;audit_source_bundle;len;load_stage_registry;row.get,,,,,,,,,RuntimeError
DSJA/project_4/crawl/notebooks/P4_Notebook_First_Master.ipynb,4,a3-master-index,markdown,,,0,3b01cfe8c18c8ccb4e162b86f13a9bffb0315edfca35cadf1f66c9be04dc9523,9,1부 — Source·수집·전처리·NCS,,,,,,,,,,,,,
DSJA/project_4/crawl/notebooks/P4_Notebook_First_Master.ipynb,5,a3-master-architecture,code,,,0,ba76fdf56876d82e23c16df3065d2ab243e8852640099c36a1b70ee4467ab453,9,architecture_rows = repository_architecture(PROJECT_ROOT),,,,len;repository_architecture;sum,,,,,,,,,
DSJA/project_4/crawl/notebooks/P4_Notebook_First_Master.ipynb,6,a3-master-stage-registry,code,,,0,7b19aa9143126f2f9b6659436dcc663b65b4f6b5d26ea94e59917a2df771f4f6,11,registry_rows = [,,,,,,,,,,,,,
DSJA/project_4/crawl/notebooks/P4_Notebook_First_Master.ipynb,7,a3-master-execute,code,,,0,3d374b115aad51e4494b2c28228abb2e70d6f0e53b5e71e5d49b99fbb56430f6,12,MASTER_OUTPUT = (PROJECT_ROOT / OUTPUT_ROOT).resolve() if not Path(OUTPUT_ROOT).is_absolute() else Path(OUTPUT_ROOT),,,,Path;RuntimeError;execute_notebook_plan;is_absolute;resolve,,,,,,,,,RuntimeError
DSJA/project_4/crawl/notebooks/P4_Notebook_First_Master.ipynb,8,a3-master-manifests,code,,,0,029deccda34ed4cbc4d6bb5cc578e2f192c7c4ad2c3a13f11097245bbd8dd4c5,8,stage_manifests = collect_stage_manifests(CHILD_RUN_ROOT),,,,collect_stage_manifests;len;row.get;sum,,,,,,,,,
DSJA/project_4/crawl/notebooks/P4_Notebook_First_Master.ipynb,9,a3-master-final-qa,code,,,0,479ef1e70109821b1c3c5384794d7b94f79794a9ca014aba073134e5484a7b4f,22,"final_export = PROJECT_ROOT / ""crawl/data/exports/observed-dev/OBSERVED_DEV_20260806_01""",,,,RuntimeError;int;is_file;len;row.get;sum,,,,,,,,,RuntimeError
DSJA/project_4/crawl/notebooks/P4_Notebook_First_Master.ipynb,10,a3-master-terminate,code,,,0,222af79e98aaba775e700e3fcae439b0b24f1b83cf60267dfaa473496cde37f5,13,termination = write_master_stage_artifacts(,,,,relative_to;str;write_master_stage_artifacts,,write_master_stage_artifacts(MASTER_OUTPUT),,,,,,,
