notebookPath,stageId,inputPath,inputRole,inputFormat,inputRows,inputColumns,inputBytes,inputSha256,inputGrain,inputPrimaryKey,inputProvenance,outputPath,outputRole,outputFormat,outputRows,outputColumns,outputBytes,outputSha256,outputGrain,outputPrimaryKey,outputProvenance,pathClass,exists
DSJA/project_4/crawl/notebooks/00RecoverSourceState.ipynb,A1-00-RECOVER,,,,,,,,,,,crawl/runs/notebooks/observed-dev/AGENT1_20260806_01/A1-00-RECOVER/stage_metrics.json,output,JSON,,12,3048,b9b50b3e437de73428a0db2296f37dfc7ce5893741b82553d0fee28e6fb74b32,A1-00-RECOVER,,OBSERVED_DEVELOPMENT_ONLY,OBSERVED_DEV_ONLY,True
DSJA/project_4/crawl/notebooks/00RecoverSourceState.ipynb,A1-00-RECOVER,,,,,,,,,,,crawl/runs/notebooks/observed-dev/AGENT1_20260806_01/A1-00-RECOVER/stage_quality.csv,output,CSV,2,7,356,22fa0f8a5cd3e52a85056f273117d4fe7a57813f3adb0292a4c043d49ca91a87,A1-00-RECOVER,,OBSERVED_DEVELOPMENT_ONLY,OBSERVED_DEV_ONLY,True
DSJA/project_4/crawl/notebooks/00RecoverSourceState.ipynb,A1-00-RECOVER,,,,,,,,,,,crawl/runs/notebooks/observed-dev/AGENT1_20260806_01/A1-00-RECOVER/CHECKSUMS.sha256,output,SHA-256 manifest,,,776,9eb2b4bfb69f766b4f146911958ff5dd3fa1c767238c84f30375bdce127ef383,A1-00-RECOVER,,OBSERVED_DEVELOPMENT_ONLY,OBSERVED_DEV_ONLY,True
DSJA/project_4/crawl/notebooks/01CollectLinkareerIndex.ipynb,A1-01-INDEX,crawl/observed_inputs/OBSERVED_INPUT_20260806_01/HANDOFF.json,input,JSON,,20,817,f58810b38bde7c7e1c69bf1f7000b3931cadf9d4d544f64b9c9c0d27a63bce8e,A1-01-INDEX,,OBSERVED_DEVELOPMENT_ONLY,,,,,,,,,,,OBSERVED_DEV_ONLY,True
DSJA/project_4/crawl/notebooks/01CollectLinkareerIndex.ipynb,A1-01-INDEX,crawl/configs/queryRegistry.yaml,input,YAML,,,2057,b111814ff4c7e47a229638e09f86aba3f38b6e9f325d53621e5ab7d257d865f7,A1-01-INDEX,operationName,OBSERVED_DEVELOPMENT_ONLY,,,,,,,,,,,REPO_RELATIVE,True
DSJA/project_4/crawl/notebooks/01CollectLinkareerIndex.ipynb,A1-01-INDEX,crawl/fixtures/apq/CalendarScreen_ActivityCalendarEntries.2026-03.recruit.sample.json,input,JSON,,4,313317,816f54fed778aba00120f0e1c6728e1603d1c8b2cf16bfbaa1947c8cb1582139,A1-01-INDEX,,OBSERVED_DEVELOPMENT_ONLY,,,,,,,,,,,REPO_RELATIVE,True
DSJA/project_4/crawl/notebooks/01CollectLinkareerIndex.ipynb,A1-01-INDEX,,,,,,,,,,,crawl/runs/notebooks/observed-dev/AGENT1_20260806_01/A1-01-INDEX/fixture_apq_audit.json,output,JSON,,8,299,0d8cea7532f722e59bde7ea3bd6876a0f1205fa4563a5c9d4671d03d861950ac,A1-01-INDEX,,OBSERVED_DEVELOPMENT_ONLY,OBSERVED_DEV_ONLY,True
DSJA/project_4/crawl/notebooks/01CollectLinkareerIndex.ipynb,A1-01-INDEX,,,,,,,,,,,crawl/runs/notebooks/observed-dev/AGENT1_20260806_01/A1-01-INDEX/posting_discovery_index.csv,output,CSV,302,5,26326,c9881a70c01cac83bca84e02a9e7ded21db196d59aee56c4d66fa593ffb7f4c7,A1-01-INDEX,sourcePostingId,OBSERVED_DEVELOPMENT_ONLY,OBSERVED_DEV_ONLY,True
DSJA/project_4/crawl/notebooks/01CollectLinkareerIndex.ipynb,A1-01-INDEX,,,,,,,,,,,crawl/runs/notebooks/observed-dev/AGENT1_20260806_01/A1-01-INDEX/posting_discovery_index.parquet,output,PARQUET,302,5,5803,c45f5f4c06ec8d4c645ab86b728747ed6303359c58846284027569fb1e584d29,A1-01-INDEX,sourcePostingId,OBSERVED_DEVELOPMENT_ONLY,OBSERVED_DEV_ONLY,True
DSJA/project_4/crawl/notebooks/01CollectLinkareerIndex.ipynb,A1-01-INDEX,,,,,,,,,,,crawl/runs/notebooks/observed-dev/AGENT1_20260806_01/A1-01-INDEX/stage_manifest.json,output,JSON,,26,3180,43d65592bc6eba4a6f4062ba8448038634bde5eb876b846cc22bd30023cf4634,A1-01-INDEX,,OBSERVED_DEVELOPMENT_ONLY,OBSERVED_DEV_ONLY,True
DSJA/project_4/crawl/notebooks/01CollectLinkareerIndex.ipynb,A1-01-INDEX,,,,,,,,,,,crawl/runs/notebooks/observed-dev/AGENT1_20260806_01/A1-01-INDEX/stage_metrics.json,output,JSON,,12,2527,b84771aa726940493dd695e3dd1f419c06f0590297f1838f5ffa75a3eac3f1ea,A1-01-INDEX,,OBSERVED_DEVELOPMENT_ONLY,OBSERVED_DEV_ONLY,True
DSJA/project_4/crawl/notebooks/01CollectLinkareerIndex.ipynb,A1-01-INDEX,,,,,,,,,,,crawl/runs/notebooks/observed-dev/AGENT1_20260806_01/A1-01-INDEX/stage_quality.csv,output,CSV,2,7,343,dcadc23bbb93342fa709c731f7e09624575cf97230da5ab15ed0ea13ea27d5e7,A1-01-INDEX,,OBSERVED_DEVELOPMENT_ONLY,OBSERVED_DEV_ONLY,True
DSJA/project_4/crawl/notebooks/01CollectLinkareerIndex.ipynb,A1-01-INDEX,,,,,,,,,,,crawl/runs/notebooks/observed-dev/AGENT1_20260806_01/A1-01-INDEX/CHECKSUMS.sha256,output,SHA-256 manifest,,,536,56065e84d95abd6f2794671374f931f4809050908fa8b27863f3f9873d254c33,A1-01-INDEX,,OBSERVED_DEVELOPMENT_ONLY,OBSERVED_DEV_ONLY,True
DSJA/project_4/crawl/notebooks/02CollectPostingDetail.ipynb,A1-02-DETAIL,crawl/observed_inputs/OBSERVED_INPUT_20260806_01/HANDOFF.json,input,JSON,,20,817,f58810b38bde7c7e1c69bf1f7000b3931cadf9d4d544f64b9c9c0d27a63bce8e,A1-02-DETAIL,,OBSERVED_DEVELOPMENT_ONLY,,,,,,,,,,,OBSERVED_DEV_ONLY,True
DSJA/project_4/crawl/notebooks/02CollectPostingDetail.ipynb,A1-02-DETAIL,crawl/observed_inputs/OBSERVED_INPUT_20260806_01/raw_detail_manifest.jsonl,input,JSONL,29,,11774,f12680f1d598f70df576f0af4743c5e9c49df7caf16eccb1d898bded5eb3dfbe,A1-02-DETAIL,sourcePostingId;rawSha256,OBSERVED_DEVELOPMENT_ONLY,,,,,,,,,,,OBSERVED_DEV_ONLY,True
DSJA/project_4/crawl/notebooks/02CollectPostingDetail.ipynb,A1-02-DETAIL,,,,,,,,,,,crawl/runs/notebooks/observed-dev/AGENT1_20260806_01/A1-02-DETAIL/posting_detail_replay.csv,output,CSV,29,24,24725,44983fcd3f825d9b2b7e5b4f38b0406607f5875c838071ec5b342a16962fd76a,A1-02-DETAIL,sourcePostingId,OBSERVED_DEVELOPMENT_ONLY,OBSERVED_DEV_ONLY,True
DSJA/project_4/crawl/notebooks/02CollectPostingDetail.ipynb,A1-02-DETAIL,,,,,,,,,,,crawl/runs/notebooks/observed-dev/AGENT1_20260806_01/A1-02-DETAIL/posting_detail_replay.parquet,output,PARQUET,29,24,27468,0655a51727f62b9ed76878f6c0eb7422a6bf8a7d5c5b9b21c9ba702a3fdc2bae,A1-02-DETAIL,sourcePostingId,OBSERVED_DEVELOPMENT_ONLY,OBSERVED_DEV_ONLY,True
DSJA/project_4/crawl/notebooks/02CollectPostingDetail.ipynb,A1-02-DETAIL,,,,,,,,,,,crawl/runs/notebooks/observed-dev/AGENT1_20260806_01/A1-02-DETAIL/raw_replay_failures.json,output,JSON,0,,3,37517e5f3dc66819f61f5a7bb8ace1921282415f10551d2defa5c3eb0985b570,A1-02-DETAIL,,OBSERVED_DEVELOPMENT_ONLY,OBSERVED_DEV_ONLY,True
DSJA/project_4/crawl/notebooks/02CollectPostingDetail.ipynb,A1-02-DETAIL,,,,,,,,,,,crawl/runs/notebooks/observed-dev/AGENT1_20260806_01/A1-02-DETAIL/raw_replay_metrics.json,output,JSON,,7,197,ff8d2bd9d0ae5a3745b95b50094519ac4e28f4f9b0b5a9f2ff319c32580ab649,A1-02-DETAIL,,OBSERVED_DEVELOPMENT_ONLY,OBSERVED_DEV_ONLY,True
DSJA/project_4/crawl/notebooks/02CollectPostingDetail.ipynb,A1-02-DETAIL,,,,,,,,,,,crawl/runs/notebooks/observed-dev/AGENT1_20260806_01/A1-02-DETAIL/stage_manifest.json,output,JSON,,26,3884,428010de0c6822f2250a1fb2cfea6a1f286cafe67a9bd921e6391ed22effbe31,A1-02-DETAIL,,OBSERVED_DEVELOPMENT_ONLY,OBSERVED_DEV_ONLY,True
DSJA/project_4/crawl/notebooks/02CollectPostingDetail.ipynb,A1-02-DETAIL,,,,,,,,,,,crawl/runs/notebooks/observed-dev/AGENT1_20260806_01/A1-02-DETAIL/stage_metrics.json,output,JSON,,12,2206,5c92a63d92ddadc65d9ef673955532cf0243b9ce0e137d4b299b69aacc30a8f2,A1-02-DETAIL,,OBSERVED_DEVELOPMENT_ONLY,OBSERVED_DEV_ONLY,True
DSJA/project_4/crawl/notebooks/02CollectPostingDetail.ipynb,A1-02-DETAIL,,,,,,,,,,,crawl/runs/notebooks/observed-dev/AGENT1_20260806_01/A1-02-DETAIL/stage_quality.csv,output,CSV,3,7,515,0a0a628b115aa786e1a1568e1e5607469d48d045edd0d51552e999d9641571c1,A1-02-DETAIL,,OBSERVED_DEVELOPMENT_ONLY,OBSERVED_DEV_ONLY,True
DSJA/project_4/crawl/notebooks/02CollectPostingDetail.ipynb,A1-02-DETAIL,,,,,,,,,,,crawl/runs/notebooks/observed-dev/AGENT1_20260806_01/A1-02-DETAIL/CHECKSUMS.sha256,output,SHA-256 manifest,,,624,98cb3225baf6f7c4728b12eafb7db074f598dd67e693367888d1e7a91c31f332,A1-02-DETAIL,,OBSERVED_DEVELOPMENT_ONLY,OBSERVED_DEV_ONLY,True
DSJA/project_4/crawl/notebooks/03CollectPostingAssets.ipynb,A1-03-ASSET,crawl/observed_inputs/OBSERVED_INPUT_20260806_01/HANDOFF.json,input,JSON,,20,817,f58810b38bde7c7e1c69bf1f7000b3931cadf9d4d544f64b9c9c0d27a63bce8e,A1-03-ASSET,,OBSERVED_DEVELOPMENT_ONLY,,,,,,,,,,,OBSERVED_DEV_ONLY,True
DSJA/project_4/crawl/notebooks/03CollectPostingAssets.ipynb,A1-03-ASSET,crawl/runs/notebooks/observed-dev/AGENT1_20260806_01/A1-02-DETAIL/posting_detail_replay.parquet,input,PARQUET,29,24,27468,0655a51727f62b9ed76878f6c0eb7422a6bf8a7d5c5b9b21c9ba702a3fdc2bae,A1-03-ASSET,sourcePostingId,OBSERVED_DEVELOPMENT_ONLY,,,,,,,,,,,OBSERVED_DEV_ONLY,True
DSJA/project_4/crawl/notebooks/03CollectPostingAssets.ipynb,A1-03-ASSET,,,,,,,,,,,crawl/runs/notebooks/observed-dev/AGENT1_20260806_01/A1-03-ASSET/asset_frontier.csv,output,CSV,59,6,5634,b7bfd8baed1e57e5a1cba228b82333d63fc9b7ffe3004ea640ab1c5f10923861,A1-03-ASSET,sourcePostingId,OBSERVED_DEVELOPMENT_ONLY,OBSERVED_DEV_ONLY,True
DSJA/project_4/crawl/notebooks/03CollectPostingAssets.ipynb,A1-03-ASSET,,,,,,,,,,,crawl/runs/notebooks/observed-dev/AGENT1_20260806_01/A1-03-ASSET/asset_frontier.parquet,output,PARQUET,59,6,4678,00e0a795e8dc3111414404f1cd72ef33a5a571016ff441ba3f767fe49b8001b4,A1-03-ASSET,sourcePostingId,OBSERVED_DEVELOPMENT_ONLY,OBSERVED_DEV_ONLY,True
DSJA/project_4/crawl/notebooks/03CollectPostingAssets.ipynb,A1-03-ASSET,,,,,,,,,,,crawl/runs/notebooks/observed-dev/AGENT1_20260806_01/A1-03-ASSET/asset_manifest.jsonl,output,JSONL,0,,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,A1-03-ASSET,,OBSERVED_DEVELOPMENT_ONLY,OBSERVED_DEV_ONLY,True
DSJA/project_4/crawl/notebooks/03CollectPostingAssets.ipynb,A1-03-ASSET,,,,,,,,,,,crawl/runs/notebooks/observed-dev/AGENT1_20260806_01/A1-03-ASSET/asset_routing_metrics.json,output,JSON,,5,144,613d24e07179d483097019c9c8a07c55c7cae5477c2b14d4444d8556adfd4dd2,A1-03-ASSET,,OBSERVED_DEVELOPMENT_ONLY,OBSERVED_DEV_ONLY,True
DSJA/project_4/crawl/notebooks/03CollectPostingAssets.ipynb,A1-03-ASSET,,,,,,,,,,,crawl/runs/notebooks/observed-dev/AGENT1_20260806_01/A1-03-ASSET/ocr_candidate_manifest.csv,output,CSV,30,6,3314,fc4815062fcf9b9daa5f2e1695606c54a00d6eece252f1b7b8473f51a7ea6ca2,A1-03-ASSET,,OBSERVED_DEVELOPMENT_ONLY,OBSERVED_DEV_ONLY,True
DSJA/project_4/crawl/notebooks/03CollectPostingAssets.ipynb,A1-03-ASSET,,,,,,,,,,,crawl/runs/notebooks/observed-dev/AGENT1_20260806_01/A1-03-ASSET/ocr_candidate_manifest.parquet,output,PARQUET,30,6,4489,35e9504a78d1445874f296f455d36768a9d620345d12710a9e099a970d6ecca7,A1-03-ASSET,,OBSERVED_DEVELOPMENT_ONLY,OBSERVED_DEV_ONLY,True
DSJA/project_4/crawl/notebooks/03CollectPostingAssets.ipynb,A1-03-ASSET,,,,,,,,,,,crawl/runs/notebooks/observed-dev/AGENT1_20260806_01/A1-03-ASSET/stage_manifest.json,output,JSON,,26,4807,5a68f5e879672998d0bb299c0109211c2a1b1137f21acbf17854548d7c327037,A1-03-ASSET,,OBSERVED_DEVELOPMENT_ONLY,OBSERVED_DEV_ONLY,True
DSJA/project_4/crawl/notebooks/03CollectPostingAssets.ipynb,A1-03-ASSET,,,,,,,,,,,crawl/runs/notebooks/observed-dev/AGENT1_20260806_01/A1-03-ASSET/stage_metrics.json,output,JSON,,12,1694,5381f0a06581cd3c96f691bcf17b86ef85d62a67967d6cae9330c1532c2d954b,A1-03-ASSET,,OBSERVED_DEVELOPMENT_ONLY,OBSERVED_DEV_ONLY,True
DSJA/project_4/crawl/notebooks/03CollectPostingAssets.ipynb,A1-03-ASSET,,,,,,,,,,,crawl/runs/notebooks/observed-dev/AGENT1_20260806_01/A1-03-ASSET/stage_quality.csv,output,CSV,3,7,529,65c41588713e8a6d4fed5c8b3e442ec7998eb6a966290fad9eb494c5c5cb81d5,A1-03-ASSET,,OBSERVED_DEVELOPMENT_ONLY,OBSERVED_DEV_ONLY,True
DSJA/project_4/crawl/notebooks/03CollectPostingAssets.ipynb,A1-03-ASSET,,,,,,,,,,,crawl/runs/notebooks/observed-dev/AGENT1_20260806_01/A1-03-ASSET/CHECKSUMS.sha256,output,SHA-256 manifest,,,799,76ecc4fc7bca2c7c5dd0397024bd62a8d90155687193433a72c3887699badc56,A1-03-ASSET,,OBSERVED_DEVELOPMENT_ONLY,OBSERVED_DEV_ONLY,True
DSJA/project_4/crawl/notebooks/04BuildCrawlRelease.ipynb,A1-04-RELEASE,crawl/observed_inputs/OBSERVED_INPUT_20260806_01/HANDOFF.json,input,JSON,,20,817,f58810b38bde7c7e1c69bf1f7000b3931cadf9d4d544f64b9c9c0d27a63bce8e,A1-04-RELEASE,,OBSERVED_DEVELOPMENT_ONLY,,,,,,,,,,,OBSERVED_DEV_ONLY,True
DSJA/project_4/crawl/notebooks/04BuildCrawlRelease.ipynb,A1-04-RELEASE,crawl/releases/CRAWL_20260806_03/HANDOFF.json,input,JSON,,28,3754,404af678f9812678941d3fed5ab913949f364cc38e1f5005940a3aaac9e442eb,A1-04-RELEASE,crawlReleaseId,OBSERVED_DEVELOPMENT_ONLY,,,,,,,,,,,VERSIONED_RELEASE,True
DSJA/project_4/crawl/notebooks/04BuildCrawlRelease.ipynb,A1-04-RELEASE,,,,,,,,,,,crawl/runs/notebooks/observed-dev/AGENT1_20260806_01/A1-04-RELEASE/agent2_validator_result.json,output,JSON,,4,173,e0fc048fdcfa5a0f671cd93034ce0fdf9d22e8a2d773cbc51b3ac64287557790,A1-04-RELEASE,,OBSERVED_DEVELOPMENT_ONLY,OBSERVED_DEV_ONLY,True
DSJA/project_4/crawl/notebooks/04BuildCrawlRelease.ipynb,A1-04-RELEASE,,,,,,,,,,,crawl/runs/notebooks/observed-dev/AGENT1_20260806_01/A1-04-RELEASE/observed_package_validation.json,output,JSON,,11,277,a82733bcf64e0fa88c4aec0ee16d8bcbda7ff784fcce683c91b3da58c59f7270,A1-04-RELEASE,,OBSERVED_DEVELOPMENT_ONLY,OBSERVED_DEV_ONLY,True
DSJA/project_4/crawl/notebooks/04BuildCrawlRelease.ipynb,A1-04-RELEASE,,,,,,,,,,,crawl/runs/notebooks/observed-dev/AGENT1_20260806_01/A1-04-RELEASE/stage_manifest.json,output,JSON,,26,2999,ff55e5c0ea6dd95cda0eee50ec5c675ff176fa7e3be1d446adecbaa67677aae4,A1-04-RELEASE,,OBSERVED_DEVELOPMENT_ONLY,OBSERVED_DEV_ONLY,True
DSJA/project_4/crawl/notebooks/04BuildCrawlRelease.ipynb,A1-04-RELEASE,,,,,,,,,,,crawl/runs/notebooks/observed-dev/AGENT1_20260806_01/A1-04-RELEASE/stage_metrics.json,output,JSON,,12,3756,bfdf743dc23b29ecd52f4f30317545e7a434f1fdd3e54ca07c762dc0af5edec9,A1-04-RELEASE,,OBSERVED_DEVELOPMENT_ONLY,OBSERVED_DEV_ONLY,True
DSJA/project_4/crawl/notebooks/04BuildCrawlRelease.ipynb,A1-04-RELEASE,,,,,,,,,,,crawl/runs/notebooks/observed-dev/AGENT1_20260806_01/A1-04-RELEASE/stage_quality.csv,output,CSV,3,7,635,3f5e53740a679dcd1379336d1ba7e23972b4b7cb1a2851a1db6bdae0a2f54ffc,A1-04-RELEASE,,OBSERVED_DEVELOPMENT_ONLY,OBSERVED_DEV_ONLY,True
DSJA/project_4/crawl/notebooks/04BuildCrawlRelease.ipynb,A1-04-RELEASE,,,,,,,,,,,crawl/runs/notebooks/observed-dev/AGENT1_20260806_01/A1-04-RELEASE/CHECKSUMS.sha256,output,SHA-256 manifest,,,449,fd04bd48655fa3d5bef7d6a8f6e42c03921f705920a1988dcf7492f0ef909e3a,A1-04-RELEASE,,OBSERVED_DEVELOPMENT_ONLY,OBSERVED_DEV_ONLY,True
DSJA/project_4/crawl/notebooks/P4_Notebook_First_Master.ipynb,A3-MASTER-ORCHESTRATION,crawl/control/NOTEBOOK_STAGE_REGISTRY.yaml,input,YAML,,,13463,c8c5d94a05b1104f8ebfffc0f0d0f1562e80032e3a77f4093c0650e66238f643,A3-MASTER-ORCHESTRATION,stageId,OBSERVED_DEVELOPMENT_ONLY,,,,,,,,,,,REPO_RELATIVE,True
DSJA/project_4/crawl/notebooks/P4_Notebook_First_Master.ipynb,A3-MASTER-ORCHESTRATION,crawl/control/NOTEBOOK_EXECUTION_CONTRACT.md,input,MD,,,6031,1fa796ef6f14896bcd542ce156a5063055fe9d351f0b1691cda346af672f0ae4,A3-MASTER-ORCHESTRATION,,OBSERVED_DEVELOPMENT_ONLY,,,,,,,,,,,REPO_RELATIVE,True
DSJA/project_4/crawl/notebooks/P4_Notebook_First_Master.ipynb,A3-MASTER-ORCHESTRATION,,,,,,,,,,,crawl/runs/notebooks/observed-dev/MASTER_20260806_01/stages/crawl/notebooks/P4_Notebook_First_Master/stage_manifest.json,output,JSON,,26,1833,55672097304ffb854423c43436cbfbfbec46113e11cd82d14c065a632b678a63,A3-MASTER-ORCHESTRATION,,OBSERVED_DEVELOPMENT_ONLY,OBSERVED_DEV_ONLY,True
DSJA/project_4/crawl/notebooks/P4_Notebook_First_Master.ipynb,A3-MASTER-ORCHESTRATION,,,,,,,,,,,crawl/runs/notebooks/observed-dev/MASTER_20260806_01/stages/crawl/notebooks/P4_Notebook_First_Master/stage_metrics.json,output,JSON,,12,1146,a57fc401d50581391eb8aa3605fe6279d0661ffd6f54f33e9eb6a08c24509aa9,A3-MASTER-ORCHESTRATION,,OBSERVED_DEVELOPMENT_ONLY,OBSERVED_DEV_ONLY,True
DSJA/project_4/crawl/notebooks/P4_Notebook_First_Master.ipynb,A3-MASTER-ORCHESTRATION,,,,,,,,,,,crawl/runs/notebooks/observed-dev/MASTER_20260806_01/stages/crawl/notebooks/P4_Notebook_First_Master/stage_quality.csv,output,CSV,3,7,355,426a6f57de19bf8e3c7e3e32137147631023c7af58700ef1eebb1c360fdb28bc,A3-MASTER-ORCHESTRATION,,OBSERVED_DEVELOPMENT_ONLY,OBSERVED_DEV_ONLY,True
DSJA/project_4/crawl/notebooks/P4_Notebook_First_Master.ipynb,A3-MASTER-ORCHESTRATION,,,,,,,,,,,crawl/runs/notebooks/observed-dev/MASTER_20260806_01/stages/crawl/notebooks/P4_Notebook_First_Master/CHECKSUMS.sha256,output,SHA-256 manifest,,,255,49e236bda63a368604782c33c0cacdd4cfb88b4c11c7f2d9a9f4f0fc06f5610c,A3-MASTER-ORCHESTRATION,,OBSERVED_DEVELOPMENT_ONLY,OBSERVED_DEV_ONLY,True
DSJA/project_4/crawl/notebooks/P4_Notebook_First_Master.ipynb,A3-MASTER-ORCHESTRATION,,,,,,,,,,,crawl/runs/notebooks/observed-dev/MASTER_20260806_01/NOTEBOOK_EXECUTION_RESULTS.csv,output,CSV,1,11,557,2dea1f71704de8389887c7057cb9b1d201acafc0b3081e3fd6b4188468f7dcf0,A3-MASTER-ORCHESTRATION,notebook,OBSERVED_DEVELOPMENT_ONLY,OBSERVED_DEV_ONLY,True
