scope,path,currentSha256,gitBlobSha,inventorySha256,executedSha256,passed,classification,details
stage,crawl/runs/notebooks/observed-dev/MASTER_20260806_01/stages/crawl/notebooks/children/agent_runs/AGENT2/06Deduplicate90Days/CHECKSUMS.sha256,14ad983eb45e6a7dd39bbcdc14accc855d3b0fb6c6d79549f2fa81cde52e0eb5,,,,True,PASS,passed=3;failed=0;reasons=
stage,crawl/runs/notebooks/observed-dev/MASTER_20260806_01/stages/crawl/notebooks/children/agent_runs/AGENT2/07LabelCareerAccess/CHECKSUMS.sha256,edcd3a2ac8075871f358d790ef7817267f0a2d68af4b6f4b7095882855e48bbb,,,,True,PASS,passed=3;failed=0;reasons=
stage,crawl/runs/notebooks/observed-dev/MASTER_20260806_01/stages/crawl/notebooks/children/agent_runs/AGENT2/08LoadAndPrepareNcs/CHECKSUMS.sha256,6d46d25c7359bf16f15c8417861107a458774b3c85c292bfbd318433b3e38c50,,,,True,PASS,passed=3;failed=0;reasons=
stage,crawl/runs/notebooks/observed-dev/MASTER_20260806_01/stages/crawl/notebooks/children/agent_runs/AGENT2/09MapPostingToNcs/CHECKSUMS.sha256,bc09aaff214777fe8fb9a76b4abcf8ffc4e725b2433bed524354e64c8b48f393,,,,True,PASS,passed=3;failed=0;reasons=
stage,crawl/runs/notebooks/observed-dev/MASTER_20260806_01/stages/crawl/notebooks/children/agent_runs/AGENT2/10ExportPreprocessedCsv/CHECKSUMS.sha256,763d9310aa9b60824d73c96c60ecfd80e2129f88482ca88ffbf7f2534ec943f1,,,,True,PASS,passed=3;failed=0;reasons=
stage,crawl/runs/notebooks/observed-dev/MASTER_20260806_01/stages/crawl/notebooks/children/agent_runs/AGENT2/11PreprocessedDataQa/CHECKSUMS.sha256,8b26cd6d23ce678ad0951bc0f2f4c8b45f6a1b47d27813ca72ab30b87a68514e,,,,True,PASS,passed=3;failed=0;reasons=
stage,crawl/runs/notebooks/observed-dev/MASTER_20260806_01/stages/crawl/notebooks/children/agent_runs/AGENT2/artifacts/00ContractAndInputAudit/CHECKSUMS.sha256,bcbb08b1095a43697f547c79972c86c63463d08be84429018b134d64c21a66b5,,,,True,PASS,passed=3;failed=0;reasons=
stage,crawl/runs/notebooks/observed-dev/MASTER_20260806_01/stages/crawl/notebooks/children/agent_runs/AGENT4/A4-00-NCS-SOURCE/CHECKSUMS.sha256,e120ab3bc0a757a619971c5e0225e626bf66b69438b087f723466dca5618ffab,,,,True,PASS,passed=3;failed=0;reasons=
stage,crawl/runs/notebooks/observed-dev/MASTER_20260806_01/stages/crawl/notebooks/children/agent_runs/AGENT4/A4-01-CODESET/CHECKSUMS.sha256,c838d5bd665e02572b95ede76df19c151093350d8e9912a9599420f10b7aeb30,,,,True,PASS,passed=3;failed=0;reasons=
stage,crawl/runs/notebooks/observed-dev/MASTER_20260806_01/stages/crawl/notebooks/children/agent_runs/AGENT4/A4-02-RETRIEVAL/CHECKSUMS.sha256,a34339c1883b1ad45da1c1f7dfa1ef0b190e7ddb25ba5f3ff041101258b467ca,,,,True,PASS,passed=3;failed=0;reasons=
stage,crawl/runs/notebooks/observed-dev/MASTER_20260806_01/stages/crawl/notebooks/children/agent_runs/AGENT4/A4-03-MAP-OBSERVED/CHECKSUMS.sha256,63ac8142c6815af30aa7e6976e46d5e67a4a94e84a61ca7edebf7f751c2f1a25,,,,True,PASS,passed=3;failed=0;reasons=
stage,crawl/runs/notebooks/observed-dev/MASTER_20260806_01/stages/crawl/notebooks/children/agent_runs/AGENT4/A4-04-EXPORT/CHECKSUMS.sha256,0979c240e3ca686ae95dcbe9a61922203f258450df26b37c877da03b9af08e8b,,,,True,PASS,passed=3;failed=0;reasons=
stage,crawl/runs/notebooks/observed-dev/MASTER_20260806_01/stages/crawl/notebooks/children/agent_runs/AGENT4/A4-05-EVALUATE/CHECKSUMS.sha256,c3f573f55c27f87551c6a29b79ab2e62ab8ddec7efb3bab05b53be933a0af2cd,,,,True,PASS,passed=3;failed=0;reasons=
stage,crawl/runs/notebooks/observed-dev/MASTER_20260806_01/stages/crawl/notebooks/children/stages/crawl/notebooks/00RecoverSourceState/A1-00-RECOVER/CHECKSUMS.sha256,966e889088690be6225ce52d35e567b2ba42372b7704ed4798b7d8255bb7508e,,,,True,PASS,passed=9;failed=0;reasons=
stage,crawl/runs/notebooks/observed-dev/MASTER_20260806_01/stages/crawl/notebooks/children/stages/crawl/notebooks/01CollectLinkareerIndex/A1-01-INDEX/CHECKSUMS.sha256,249cc671bf12d5ccbd1c20abdaef1efae6f6451db619366e3ce1fd49a4890bc0,,,,True,PASS,passed=6;failed=0;reasons=
stage,crawl/runs/notebooks/observed-dev/MASTER_20260806_01/stages/crawl/notebooks/children/stages/crawl/notebooks/02CollectPostingDetail/A1-02-DETAIL/CHECKSUMS.sha256,368956e4ffddfb99e0b722f6673a16c0da71043b0a5fcf1f2b19b91ef8bb9114,,,,True,PASS,passed=7;failed=0;reasons=
