component_id,agent_id,component,branch,local_head,remote_head,ahead,behind,dirty_tracked,dirty_untracked,ignored_runtime,status,evidence,finding
A1-RELEASE,P4-A1-SOURCE,production release,agent/p4-crawl-release-v2,00b2e6b832b0b07d09f9c99d8c1f623c7976f69d,3ad43c39dd01933575529e0c81d9809dc64c4e57,2,10,,,,BLOCKED,repository and artifact forensic audit 2026-08-06,candidate only; full corpus and validator absent
A2-CONTRACT,P4-A2-PIPELINE,contract consumer,agent/p4-pipeline-v2,9a0571dbcc0183960bda153baedcd0a2c9dc8248,9a0571dbcc0183960bda153baedcd0a2c9dc8248,0,0,,,,PASS_WITH_FINDINGS,repository and artifact forensic audit 2026-08-06,v2.1.2 loader and release validation implemented
A2-PARSER,P4-A2-PIPELINE,SSR/APQ/ActivityText parser,agent/p4-pipeline-v2,9a0571dbcc0183960bda153baedcd0a2c9dc8248,9a0571dbcc0183960bda153baedcd0a2c9dc8248,0,0,,,,PASS_WITH_FINDINGS,repository and artifact forensic audit 2026-08-06,fallback implemented; raw only 29
A2-NORMALIZE,P4-A2-PIPELINE,normalize and eligibility,agent/p4-pipeline-v2,9a0571dbcc0183960bda153baedcd0a2c9dc8248,9a0571dbcc0183960bda153baedcd0a2c9dc8248,0,0,,,,PASS_WITH_FINDINGS,repository and artifact forensic audit 2026-08-06,explicit eligibility flags; canonical enum gaps remain
A2-TRACK,P4-A2-PIPELINE,track/section,agent/p4-pipeline-v2,9a0571dbcc0183960bda153baedcd0a2c9dc8248,9a0571dbcc0183960bda153baedcd0a2c9dc8248,0,0,,,,PARTIAL,repository and artifact forensic audit 2026-08-06,observed path is one track per posting; sections 84
A2-REQ,P4-A2-PIPELINE,requirements,agent/p4-pipeline-v2,9a0571dbcc0183960bda153baedcd0a2c9dc8248,9a0571dbcc0183960bda153baedcd0a2c9dc8248,0,0,,,,PARTIAL,repository and artifact forensic audit 2026-08-06,35 facts; canonical requirementType invalid
A2-DEDUP,P4-A2-PIPELINE,90-day dedup,agent/p4-pipeline-v2,9a0571dbcc0183960bda153baedcd0a2c9dc8248,9a0571dbcc0183960bda153baedcd0a2c9dc8248,0,0,,,,PASS_WITH_FINDINGS,repository and artifact forensic audit 2026-08-06,implementation exists; observed result all singleton
A2-LABEL,P4-A2-PIPELINE,career/intern labels,agent/p4-pipeline-v2,9a0571dbcc0183960bda153baedcd0a2c9dc8248,9a0571dbcc0183960bda153baedcd0a2c9dc8248,0,0,,,,BLOCKED,repository and artifact forensic audit 2026-08-06,career U 137; intern IU 35
A2-NCS,P4-A2-PIPELINE,NCS adapter,agent/p4-pipeline-v2,9a0571dbcc0183960bda153baedcd0a2c9dc8248,9a0571dbcc0183960bda153baedcd0a2c9dc8248,0,0,,,,PASS_WITH_FINDINGS,repository and artifact forensic audit 2026-08-06,"13,442 source; 128 candidates; 28 matches; review-only"
A2-EXPORT,P4-A2-PIPELINE,CSV/Parquet exporter,agent/p4-pipeline-v2,9a0571dbcc0183960bda153baedcd0a2c9dc8248,9a0571dbcc0183960bda153baedcd0a2c9dc8248,0,0,,,,PASS_WITH_FINDINGS,repository and artifact forensic audit 2026-08-06,8/8 semantic equality; duplicate bundle ID divergence
A2-QA,P4-A2-PIPELINE,structural QA,agent/p4-pipeline-v2,9a0571dbcc0183960bda153baedcd0a2c9dc8248,9a0571dbcc0183960bda153baedcd0a2c9dc8248,0,0,,,,PASS_WITH_FINDINGS,repository and artifact forensic audit 2026-08-06,24 listed checks pass but canonical enum violations escaped
A2-WAREHOUSE,P4-A2-PIPELINE,canonical/observed DB isolation,agent/p4-pipeline-v2,9a0571dbcc0183960bda153baedcd0a2c9dc8248,9a0571dbcc0183960bda153baedcd0a2c9dc8248,0,0,,,,PASS_WITH_FINDINGS,repository and artifact forensic audit 2026-08-06,canonical 26 base tables empty; observed DB matches pipeline copy
A3-CONTRACT,P4-A3-CONTROL,contract v2.1.2,agent/p4-integration-cleanup-v2,b64270bd4ab839ec750a4ceceb08d57957c88782,b64270bd4ab839ec750a4ceceb08d57957c88782,0,0,,,,PASS,repository and artifact forensic audit 2026-08-06,"11/11 checksums; 5 schemas, 26 tables, 6 views"
A3-NOTEBOOK,P4-A3-CONTROL,Notebook control,agent/p4-integration-cleanup-v2,b64270bd4ab839ec750a4ceceb08d57957c88782,b64270bd4ab839ec750a4ceceb08d57957c88782,0,0,,,,PASS_WITH_FINDINGS,repository and artifact forensic audit 2026-08-06,24-source master bundle; runtime-only evidence finding
A3-INTEGRATION,P4-A3-CONTROL,integration promotion,agent/p4-integration-cleanup-v2,b64270bd4ab839ec750a4ceceb08d57957c88782,b64270bd4ab839ec750a4ceceb08d57957c88782,0,0,,,,PARTIAL,repository and artifact forensic audit 2026-08-06,integration root absent; production promotion blocked
A4-SOURCE,P4-A4-NCS,NCS source/normalize,agent/p4-ncs-mapping-v2,7a9feccc7a2fc99b8b86b95bdb73699620bc7ff0,7a9feccc7a2fc99b8b86b95bdb73699620bc7ff0,0,0,,,,PASS_WITH_FINDINGS,repository and artifact forensic audit 2026-08-06,"13,442 unique; hierarchy names absent"
A4-CODESET,P4-A4-NCS,core AI/IT set,agent/p4-ncs-mapping-v2,7a9feccc7a2fc99b8b86b95bdb73699620bc7ff0,7a9feccc7a2fc99b8b86b95bdb73699620bc7ff0,0,0,,,,PARTIAL,repository and artifact forensic audit 2026-08-06,"120 review rows: 69 included, 51 excluded"
A4-ALIAS,P4-A4-NCS,alias dictionary,agent/p4-ncs-mapping-v2,7a9feccc7a2fc99b8b86b95bdb73699620bc7ff0,7a9feccc7a2fc99b8b86b95bdb73699620bc7ff0,0,0,,,,PARTIAL,repository and artifact forensic audit 2026-08-06,"10 draft seeds, 0 observed hits"
A4-RETRIEVAL,P4-A4-NCS,lexical retrieval,agent/p4-ncs-mapping-v2,7a9feccc7a2fc99b8b86b95bdb73699620bc7ff0,7a9feccc7a2fc99b8b86b95bdb73699620bc7ff0,0,0,,,,PASS_WITH_FINDINGS,repository and artifact forensic audit 2026-08-06,691 docs; candidates limited to included codes; dense not run
A4-MAPPING,P4-A4-NCS,batch mapping,agent/p4-ncs-mapping-v2,7a9feccc7a2fc99b8b86b95bdb73699620bc7ff0,7a9feccc7a2fc99b8b86b95bdb73699620bc7ff0,0,0,,,,PASS_WITH_FINDINGS,repository and artifact forensic audit 2026-08-06,28 duties; 27 mapped; one unmapped
A4-GOLD,P4-A4-NCS,gold evaluator,agent/p4-ncs-mapping-v2,7a9feccc7a2fc99b8b86b95bdb73699620bc7ff0,7a9feccc7a2fc99b8b86b95bdb73699620bc7ff0,0,0,,,,NOT_EVALUATED,repository and artifact forensic audit 2026-08-06,zero-row structural evaluator; production performance unavailable
