year,id,title,jobTypes,dutiesCount,hasActivityText,activityTextPlainLen,bodyTextLength_ge_120,applyDetail,externalApplyDomain,isExternalApply,regions,educationTypes,salaryType,filesTypes
2024,171493,[현대자동차] 경영지원 신입 수시 채용,NEW,34,True,179,True,https://talent-hyundai-now.com/new/,talent-hyundai-now.com,True,지역 제한없음,,,썸네일|로고
2025,227063,[현대자동차] 장애인 신입 특별채용 (~03/14 17시),NEW,0,True,300,True,https://talent-hyundai-now.com/handicap/,talent-hyundai-now.com,True,서울,,YEARLY,썸네일|로고
2025,226892,(사전공고)[현대자동차] 25년 3월 신입 채용 (~03/14),NEW,0,True,360,True,https://talent.hyundai.com/apply/applyList.hc?nfGubnC=ac85892205b92e8cecdc87185a3fbf039f04b2a7751ccf0e8a1f547d53b9945a&tagArray=&sortDataTagArray=&areaDataTagArray=&fieldDataTagArray=&occupDataTagArray=&intnsvYn=,talent.hyundai.com,True,서울,,YEARLY,썸네일|로고
2025,226921,[KT텔레캅] 2025년 3차 KT텔레캅 SG사원 상시채용,CONTRACT,0,True,284,True,https://recruit.kt.com/careers/208813,recruit.kt.com,True,서울,,MONTHLY,썸네일|로고
2025,227039,[현대자동차] 3월 신입 채용 (경영지원),NEW,22,True,217,True,https://talent-hyundai-now.com/new/,talent-hyundai-now.com,True,서울|울산|경기,,YEARLY,썸네일|로고
2025,227042,[현대자동차] 3월 신입 채용 (사업/기획),NEW,38,True,426,True,https://talent-hyundai-now.com/new/,talent-hyundai-now.com,True,서울|울산|경기|충청,,YEARLY,썸네일|로고
2026,306146,[웰컴금융그룹/웰컴에프앤디] 자금팀 신입경력직(3년 이내),CONTRACT,0,True,115,False,https://welcome.recruiter.co.kr/app/jobnotice/view?systemKindCode=MRS2&jobnoticeSn=246503,welcome.recruiter.co.kr,True,서울,,YEARLY,썸네일|로고
2026,305952,[타라티피에스] 브랜드 캠페인 PM(제작물•디자인 관리),EXPERIENCED,3,True,216,True,https://tara.career.greetinghr.com/ko/o/195857,tara.career.greetinghr.com,True,서울,,YEARLY,썸네일|로고
2026,305955,[타라티피에스] PO(Product Owner) - 경력,EXPERIENCED,3,True,263,True,https://tara.career.greetinghr.com/ko/o/203575,tara.career.greetinghr.com,True,서울,,YEARLY,썸네일|로고
2026,306256,[롯데렌탈] 26년 03월 계약직(영업전문직군) - 오토렌탈영업,CONTRACT,0,True,448,True,https://recruit.lotterental.net/reMenuAction.do,recruit.lotterental.net,True,서울|부산|경기,,MONTHLY,썸네일|로고
2026,306761,[CBS] 2026년도 CBS 신입사원 선발 모집요강,NEW,36,True,80,False,https://www.cbs.co.kr/board/view/recruitInfo?no=236,www.cbs.co.kr,True,서울|대전|전라,,YEARLY,썸네일|로고
