dataset,name,type,nullable,grain,source,derivation,qualityRule
preprocessed_posting_tracks.csv,postingId,VARCHAR,False,one row per trackId,posting_normalized,join,non-null
preprocessed_posting_tracks.csv,trackId,VARCHAR,False,one row per trackId,posting_tracks,join,unique
preprocessed_posting_tracks.csv,sourcePostingId,VARCHAR,False,one row per trackId,posting_normalized,join,non-null
preprocessed_posting_tracks.csv,periodMonth,VARCHAR,False,one row per trackId,postedAt,YYYY-MM,valid month
preprocessed_posting_tracks.csv,postingKind,VARCHAR,False,one row per trackId,posting_normalized,join,enum
preprocessed_posting_tracks.csv,jobType,VARCHAR,False,one row per trackId,posting_tracks,join,enum
preprocessed_posting_tracks.csv,careerClass,VARCHAR,False,one row per trackId,career_access_labels,join,enum
preprocessed_posting_tracks.csv,internAccessClass,VARCHAR,False,one row per trackId,career_access_labels,join,enum
preprocessed_posting_tracks.csv,requiredEvidenceJson,JSON,True,one row per trackId,requirement_facts,canonical JSON aggregation,valid JSON
preprocessed_posting_tracks.csv,preferredEvidenceJson,JSON,True,one row per trackId,requirement_facts,canonical JSON aggregation,valid JSON
preprocessed_posting_tracks.csv,rq1EligibleFlag,BOOLEAN,False,one row per trackId,posting_normalized,join,non-null
preprocessed_posting_tracks.csv,rq2EligibleFlag,BOOLEAN,False,one row per trackId,posting_normalized,join,non-null
preprocessed_posting_tracks.csv,ncsEligibleFlag,BOOLEAN,False,one row per trackId,posting_normalized,join,non-null
preprocessed_posting_tracks.csv,rawSha256,VARCHAR,True,one row per trackId,raw lineage,join,64 hex or null
preprocessed_posting_tracks.csv,parseVersion,VARCHAR,False,one row per trackId,posting_normalized,join,non-empty
data_quality_summary.csv,periodMonth,VARCHAR,True,one row per metricName × periodMonth,coverage/data,group key,YYYY-MM or null for global
data_quality_summary.csv,metricName,VARCHAR,False,one row per metricName × periodMonth,QA definition,copy,non-empty
data_quality_summary.csv,numerator,BIGINT,True,one row per metricName × periodMonth,preprocessed tables,aggregate,>=0
data_quality_summary.csv,denominator,BIGINT,True,one row per metricName × periodMonth,preprocessed tables,aggregate,>=0
data_quality_summary.csv,metricValue,DOUBLE,True,one row per metricName × periodMonth,numerator/denominator,safe division,0..1 where rate
data_quality_summary.csv,qualityStatus,VARCHAR,False,one row per metricName × periodMonth,gate,PASS/WARN/FAIL/NOT_EVALUATED,enum
data_quality_summary.csv,evidencePath,VARCHAR,False,one row per metricName × periodMonth,artifact lineage,copy,non-empty
data_quality_summary.csv,auditVersion,VARCHAR,False,one row per metricName × periodMonth,pipeline constant,copy,non-empty
