chunkId,sourceRole
CHK_f745ee9142a2d1926cd3d908,DUTY
CHK_4abf67767f9271dec214324b,DUTY
CHK_e2291cb248fc12e860817aba,DUTY
CHK_47e260b1aa3da859fd37a276,DUTY
CHK_d3f7937382cf15f3f0e0ff2a,DUTY
CHK_bc7262032dd9e64ea0fc83a5,DUTY
CHK_3ec83a7283d96ecae0902b52,DUTY
CHK_5ddf629a4c65a0fc9bf869ff,REQUIRED
CHK_49720ab746c2e0c99e285eff,OTHER
CHK_4d3ed76a2e512344a8f88f82,OTHER
CHK_519e4dfaf7de22f6c53aae42,OTHER
CHK_bdc3ca237810862732fb46c6,DUTY
CHK_5f997f3ce5d6f3bdb376f39d,DUTY
CHK_5459d5b1a3e43fb1ecd7eaa2,REQUIRED
CHK_3661778da030b61922dafe17,REQUIRED
CHK_f9e3e39cf7916bfd89837294,OTHER
CHK_f3b4c71342b7b082c96d001d,OTHER
CHK_63425577c03f8319c240eb8c,OTHER
CHK_5b5b61602fb8548d973f973e,DUTY
CHK_fbb1ea384b2faf0a2feec565,DUTY
CHK_3b1a1165020dc24c76d75d52,DUTY
CHK_fe13abcc33526dd26801ac9c,DUTY
CHK_384508dd33328076fe4e0c33,DUTY
CHK_c5862b95e9425016ffa8ec1b,DUTY
CHK_a02c1f524ca2a85feb7d64c7,REQUIRED
CHK_1b39e5a3bbc80d18c52c6796,OTHER
CHK_49acbf018ef1022bcf68d46f,OTHER
CHK_213eaa77e77019f4e6427f27,OTHER
CHK_015ebcf4c52219396d8f691a,DUTY
CHK_ee88fea7a76a42a636295cd0,DUTY
CHK_c8ec9890a03f6d9925e68c19,DUTY
CHK_e6729108c7b0038e54cc31d1,DUTY
CHK_74e700eb5f4d631b6164dd5a,DUTY
CHK_21a2032317b65c3bab8ba0b6,DUTY
CHK_560d7a7432a56c2b43732993,REQUIRED
CHK_d281899fd984acb147cc7dd5,OTHER
CHK_712980e15f30928f482af297,OTHER
CHK_e69e4e3d52f229817d7b4ba0,OTHER
CHK_a12c5fff566cfa718b8c1f83,DUTY
CHK_66d80727c6c82360bea578a0,DUTY
CHK_0f85717694003202e8279e89,DUTY
CHK_512c2930c031e8dc36855adf,REQUIRED
CHK_8d99e383b942bd2e67ca0118,REQUIRED
CHK_a0cdb225d1d11fe60192a83d,OTHER
CHK_ae31730152aac70fd576a479,OTHER
CHK_314b389796001bfdebba4489,OTHER
CHK_455a94e9588406afa4c34b62,DUTY
CHK_8c04d9d84d3a49fd7cebe37f,DUTY
CHK_57e60936f3a7a84f2352006f,DUTY
CHK_8900be1ca2bb3c9e22381971,DUTY
CHK_6c2fab88426bb12102fce845,REQUIRED
CHK_db4b0e0e7957ff2dc3d1703e,OTHER
CHK_240e65de5c859db0454188e1,OTHER
CHK_f1b32ff06bf648e6489eb48c,OTHER
CHK_0fcfa079782ebf88228e3adb,DUTY
CHK_5a7649b2265cc8eedf13778d,DUTY
CHK_edcde3e76f9e0869498be5b4,DUTY
CHK_5c83e3bc6c98ae5312d80d0a,REQUIRED
CHK_bd7446766aca58b30818822b,REQUIRED
CHK_6c764b717c35aa1e01347cfb,OTHER
CHK_39415b03f5bf921c32f282d6,OTHER
CHK_f27d52aee8440421f515cc35,OTHER
CHK_52c220475b0423e115fb6df4,DUTY
CHK_39de59bd58f31a690727fa9b,DUTY
CHK_183fc4f73f34ace0bbcc2ec8,DUTY
CHK_f4187ad7568cb4a727822b87,DUTY
CHK_b8dac6493afa6f16930d801d,DUTY
CHK_69485623c31ccd9e8c7381e5,REQUIRED
CHK_b3faef8a8f1768c7fd785265,OTHER
CHK_758630c60bb4f48acfe3b1ae,OTHER
CHK_ae916f03348ace51255ecbdd,OTHER
CHK_1a5b0bb99f6bf56c2d7a8e76,DUTY
CHK_9196cc9069e52f861dba5a0d,DUTY
CHK_2a1a9529b2166e2e006826bb,REQUIRED
CHK_2496fd45e0afe2ac3add9e97,REQUIRED
CHK_9b9166dfb7d6570cf7111e9b,OTHER
CHK_0d9e3a0d98a62c787526d68a,OTHER
CHK_1522fd3bccd4f280b19fa2f0,OTHER
CHK_e9ae4a2852b57fb7d3f3f1fe,DUTY
CHK_9e7a09ccd0c5bd44f0c5d58b,DUTY
CHK_ff194a0bf9311dd5a88175b8,DUTY
CHK_271de89c1e3b815bdd805909,DUTY
CHK_66547a1ca2e97c50a1b378ca,DUTY
CHK_1a58a841a4675f00a1df1fc0,DUTY
CHK_d7e96886a06d391843236151,DUTY
CHK_e69ad38baf7ac6b96ed0937c,DUTY
CHK_e334de0fc1f695d5cd18d84b,DUTY
CHK_4dcaacc54256d4302b4e8e91,REQUIRED
CHK_26d079cd4857c75b7d48d6aa,OTHER
CHK_6c6c7cd2883c6d78f0d543f0,OTHER
CHK_78d97306c7c5dd16ab4c36ea,OTHER
CHK_427ac91b742526eb15fca43e,DUTY
CHK_e4790bc0c13213ab8752e363,DUTY
CHK_e6ec04873b1d1a3ca46b087c,REQUIRED
CHK_b37f75eb94a04dce67f662e1,OTHER
CHK_cb6c7db64772cb1514334e2f,OTHER
CHK_60cd192c62bc9900d303f7f5,OTHER
CHK_cf97d0b3561dcc24ecc06447,DUTY
CHK_d6e96582471522f67b7fad3e,DUTY
CHK_07ec2af0fdf3d32acf22ff28,DUTY
CHK_b96ecfd87ed02c8159ab34e9,DUTY
CHK_a6278eb627b871ef1597d2ea,DUTY
CHK_4d070a8b3ac170a59a75b9c7,DUTY
CHK_1cc0f7a1bacc78ac3be49f4c,REQUIRED
CHK_58b3164f263b727cfc85cfbe,OTHER
CHK_c3132648beffa284e79a16df,OTHER
CHK_15bc5bf5393583ca1255b47e,OTHER
CHK_4095a1ff0e036b3512d54354,DUTY
CHK_f9f133a961bde563cf6c2861,DUTY
CHK_418756133ce56746d64524f3,DUTY
CHK_f78f3741d2923c92818b9448,DUTY
CHK_abd8ebe2d1213d69a9dcc4e6,REQUIRED
CHK_cf7d33a9f4bf2a4ae089b2d2,REQUIRED
CHK_0cd1a3ae38ddea26a1ae03f4,REQUIRED
CHK_88df0bad66667d64423caea6,OTHER
CHK_b40127d4a62218461e286b32,OTHER
CHK_db95b3e65f6b23bb6bee013c,OTHER
CHK_21c9af9293f71ccec19c4816,DUTY
CHK_3cf404da48a2389265fabde3,REQUIRED
CHK_0d54c03548bf4fc09aab8021,OTHER
CHK_48d2b978c3a7944bdffaa644,OTHER
CHK_5834f4cfce41b8f7e9be8d18,OTHER
CHK_92fd70260accbccc95f01991,DUTY
CHK_4df8e89e52a649c1109e24da,DUTY
CHK_fd388d832d6cc53bc71d225d,DUTY
CHK_64a6e6a83308fb9e6957ed2f,DUTY
CHK_9460621ce582f17648493b4e,DUTY
CHK_85fb1833d75041c35df9fed8,REQUIRED
CHK_eb079901644a03c8c150a9dc,OTHER
CHK_7a515320b7a78cbeed5e0219,OTHER
CHK_ef61fd23670295b1343e1d15,OTHER
CHK_e50798167b3d40a2b603d0a1,DUTY
CHK_38a97bd42b51e646db8331ab,DUTY
CHK_3dcfed7c15089eb12712ce59,DUTY
CHK_5649499f2ca324b73d7e0dd7,DUTY
CHK_e4f20cf5302925491d5d1ae2,DUTY
CHK_64be4b08d2f77d661981272d,DUTY
CHK_e83e8daab12d8f540ed3e4c9,DUTY
CHK_8f4414339cefd9007dad42fb,DUTY
CHK_0f20f7a37024ef67b5e74e9d,DUTY
CHK_02e970eb0656edca4e30551d,DUTY
CHK_30cd39c37d2ea938797f7793,DUTY
CHK_8b2086827b1862bb906369a1,REQUIRED
