agentId,stageId,notebook,projectImports,moduleCalls,actualModuleCall
P4-A2-PIPELINE,A2-05-REQUIREMENT,pipeline/notebooks/05ExtractRequirements.ipynb,p4.notebooks.observed_stages,OUTPUT_ROOT.is_absolute;OUTPUT_ROOT.resolve;Path;Path.cwd;RuntimeError;STAGE_ID.startswith;artifact_root.relative_to;audit_observed_stage_inputs;datetime.now;display;exists;find_project_root;is_file;isoformat;json.dumps;json.loads;jsonschema.Draft202012Validator;jsonschema.FormatChecker;list;os.environ.get;pd.DataFrame;print;read_text;resolve;run_extract_requirements_stage;str;strip;subprocess.check_output;sys.path.insert;validate,True
P4-A2-PIPELINE,A2-06-DEDUP,pipeline/notebooks/06Deduplicate90Days.ipynb,p4.notebooks.observed_stages,OUTPUT_ROOT.is_absolute;OUTPUT_ROOT.resolve;Path;Path.cwd;RuntimeError;STAGE_ID.startswith;artifact_root.relative_to;audit_observed_stage_inputs;datetime.now;display;exists;find_project_root;is_file;isoformat;json.dumps;json.loads;jsonschema.Draft202012Validator;jsonschema.FormatChecker;list;os.environ.get;pd.DataFrame;print;read_text;resolve;run_deduplicate_90_days_stage;str;strip;subprocess.check_output;sys.path.insert;validate,True
P4-A2-PIPELINE,A2-07-LABEL,pipeline/notebooks/07LabelCareerAccess.ipynb,p4.notebooks.observed_stages,OUTPUT_ROOT.is_absolute;OUTPUT_ROOT.resolve;Path;Path.cwd;RuntimeError;STAGE_ID.startswith;artifact_root.relative_to;audit_observed_stage_inputs;datetime.now;display;exists;find_project_root;is_file;isoformat;json.dumps;json.loads;jsonschema.Draft202012Validator;jsonschema.FormatChecker;list;os.environ.get;pd.DataFrame;print;read_text;resolve;run_label_career_access_stage;str;strip;subprocess.check_output;sys.path.insert;validate,True
P4-A2-PIPELINE,A2-08-NCS-LOAD,pipeline/notebooks/08LoadAndPrepareNcs.ipynb,p4.notebooks.observed_stages,OUTPUT_ROOT.is_absolute;OUTPUT_ROOT.resolve;Path;Path.cwd;RuntimeError;STAGE_ID.startswith;artifact_root.relative_to;audit_observed_stage_inputs;datetime.now;display;exists;find_project_root;is_file;isoformat;json.dumps;json.loads;jsonschema.Draft202012Validator;jsonschema.FormatChecker;list;os.environ.get;pd.DataFrame;print;read_text;resolve;run_load_and_prepare_ncs_stage;str;strip;subprocess.check_output;sys.path.insert;validate,True
P4-A2-PIPELINE,A2-09-NCS-MAP,pipeline/notebooks/09MapPostingToNcs.ipynb,p4.notebooks.observed_stages,OUTPUT_ROOT.is_absolute;OUTPUT_ROOT.resolve;Path;Path.cwd;RuntimeError;STAGE_ID.startswith;artifact_root.relative_to;audit_observed_stage_inputs;datetime.now;display;exists;find_project_root;is_file;isoformat;json.dumps;json.loads;jsonschema.Draft202012Validator;jsonschema.FormatChecker;list;os.environ.get;pd.DataFrame;print;read_text;resolve;run_map_posting_to_ncs_stage;str;strip;subprocess.check_output;sys.path.insert;validate,True
P4-A2-PIPELINE,A2-10-EXPORT,pipeline/notebooks/10ExportPreprocessedCsv.ipynb,p4.notebooks.observed_stages,OUTPUT_ROOT.is_absolute;OUTPUT_ROOT.resolve;Path;Path.cwd;RuntimeError;STAGE_ID.startswith;artifact_root.relative_to;audit_observed_stage_inputs;datetime.now;display;exists;find_project_root;is_file;isoformat;json.dumps;json.loads;jsonschema.Draft202012Validator;jsonschema.FormatChecker;list;os.environ.get;pd.DataFrame;print;read_text;resolve;run_export_preprocessed_csv_stage;str;strip;subprocess.check_output;sys.path.insert;validate,True
P4-A2-PIPELINE,A2-11-EXPORT-QA,pipeline/notebooks/11PreprocessedDataQa.ipynb,p4.notebooks.observed_stages,OUTPUT_ROOT.is_absolute;OUTPUT_ROOT.resolve;Path;Path.cwd;RuntimeError;STAGE_ID.startswith;artifact_root.relative_to;audit_observed_stage_inputs;datetime.now;display;exists;find_project_root;is_file;isoformat;json.dumps;json.loads;jsonschema.Draft202012Validator;jsonschema.FormatChecker;list;os.environ.get;pd.DataFrame;print;read_text;resolve;run_preprocessed_data_qa_stage;str;strip;subprocess.check_output;sys.path.insert;validate,True
P4-A4-NCS,A4-00-NCS-SOURCE,ncs_mapping/notebooks/00NcsSourceAudit.ipynb,p4_ncs.quality.stage_artifacts;p4_ncs.workflow.observed,Path.cwd;RuntimeError;STAGE_ID.startswith;astype;dropna;duplicated;int;isna;len;list;nunique;os.environ.get;path.is_file;pd.read_parquet;range;resolve;run_stage;sha256_file;sorted;stage_root.iterdir;str;sum;sys.path.insert;tolist;unique,True
P4-A4-NCS,A4-01-CODESET,ncs_mapping/notebooks/01BuildCoreAiItCodeSet.ipynb,p4_ncs.codeset.core_ai_it;p4_ncs.workflow.observed,Path.cwd;RuntimeError;STAGE_ID.startswith;build_core_ai_it_codeset;int;len;os.environ.get;path.is_file;pd.read_parquet;resolve;run_stage;sorted;stage_root.iterdir;str;sum;sys.path.insert,True
P4-A4-NCS,A4-02-RETRIEVAL,ncs_mapping/notebooks/02BuildNcsRetrievalIndex.ipynb,p4_ncs.dictionary.alias_dictionary;p4_ncs.retrieval.lexical_index;p4_ncs.workflow.observed,LexicalIndex.build;Path.cwd;RuntimeError;STAGE_ID.startswith;all;astype;hit.matchedNcsUnitCode.startswith;len;lexical_index.search;load_alias_dictionary;os.environ.get;path.is_file;pd.read_parquet;resolve;run_stage;set;sorted;stage_root.iterdir;str;sys.path.insert;validate_alias_dictionary,True
P4-A4-NCS,A4-03-MAP-OBSERVED,ncs_mapping/notebooks/03MapObservedDuties.ipynb,p4_ncs.contracts.observed_duty;p4_ncs.dictionary.alias_dictionary;p4_ncs.mapping.observed_baseline;p4_ncs.retrieval.lexical_index;p4_ncs.workflow.observed,FileNotFoundError;LexicalIndex.build;Path.cwd;RuntimeError;STAGE_ID.startswith;all;any;bool;candidates_preview.groupby;int;isna;len;load_alias_dictionary;load_and_validate_observed_duties;map_observed_duties;max;os.environ.get;path.is_file;pd.read_parquet;resolve;run_stage;size;sorted;stage_root.iterdir;str;sum;sys.path.insert,True
P4-A4-NCS,A4-04-EXPORT,ncs_mapping/notebooks/04ExportNcsMappingCsv.ipynb,p4_ncs.quality.stage_artifacts;p4_ncs.workflow.observed,Path.cwd;RuntimeError;STAGE_ID.startswith;len;os.environ.get;path.is_file;pd.read_parquet;resolve;run_stage;sha256_file;sorted;stage_root.iterdir;str;sys.path.insert,True
P4-A4-NCS,A4-05-EVALUATE,ncs_mapping/notebooks/05EvaluateNcsMapping.ipynb,p4_ncs.evaluation.gold_evaluation;p4_ncs.workflow.observed,Path.cwd;RuntimeError;STAGE_ID.startswith;evaluate_gold_mapping;evaluation_preview.to_dict;load_gold_structure;os.environ.get;path.is_file;resolve;run_stage;sorted;stage_root.iterdir;str;sys.path.insert,True
P4-A3-CONTROL,A3-MASTER,crawl/notebooks/P4_Notebook_First_Master.ipynb,crawl.control.notebook_bundle,CONTRACT_PATH.relative_to;Path;Path.cwd;RuntimeError;audit_source_bundle;collect_stage_manifests;execute_notebook_plan;git_head;int;is_absolute;is_file;len;load_stage_registry;platform.platform;relative_to;repository_architecture;resolve;resolve_project_root;row.get;sha256_file;str;sum;sys.version.split;write_master_stage_artifacts,True
