tableName,tableDescription,columnOrder,columnName,type,nullable,description,enum,primaryKey,unique,default,check,source,derivation,qualityRule,contractVersion,sourceContractSha256
raw.sourceRegistry,Source authorization and coverage registry,1,sourceName,VARCHAR,False,Stable source name,linkareer|ncs,True,False,,,source authorization registry,direct extraction or normalized source metadata; no analytical inference,non-null and unique within primary key of raw.sourceRegistry; must belong to the inline enum,2.1.2,f92380cdfc16967f1e363800cd9a575e44532f18a86b2f28f8c3e2404ed675e9
raw.sourceRegistry,Source authorization and coverage registry,2,sourceType,VARCHAR,False,Access medium,web|api|fileDownload,False,False,,,source authorization registry,direct extraction or normalized source metadata; no analytical inference,must be non-null; must belong to enum sourceType,2.1.2,f92380cdfc16967f1e363800cd9a575e44532f18a86b2f28f8c3e2404ed675e9
raw.sourceRegistry,Source authorization and coverage registry,3,sourceRole,VARCHAR,False,Analytical source role,posting|competency,False,False,,,source authorization registry,direct extraction or normalized source metadata; no analytical inference,must be non-null; must belong to enum sourceRole,2.1.2,f92380cdfc16967f1e363800cd9a575e44532f18a86b2f28f8c3e2404ed675e9
raw.sourceRegistry,Source authorization and coverage registry,4,baseUrl,VARCHAR,False,Canonical source base URL,,False,False,,,source authorization registry,direct extraction or normalized source metadata; no analytical inference,must be non-null,2.1.2,f92380cdfc16967f1e363800cd9a575e44532f18a86b2f28f8c3e2404ed675e9
raw.sourceRegistry,Source authorization and coverage registry,5,termsStatus,VARCHAR,False,Terms review status,reviewedConditional|permissionGranted|permitted|restricted|unverified,False,False,'unverified',,source authorization registry,direct extraction or normalized source metadata; no analytical inference,must be non-null; must belong to enum termsStatus,2.1.2,f92380cdfc16967f1e363800cd9a575e44532f18a86b2f28f8c3e2404ed675e9
raw.sourceRegistry,Source authorization and coverage registry,6,robotsStatus,VARCHAR,False,Robots review status,allowed|restricted|notApplicable|unverified,False,False,'unverified',,source authorization registry,direct extraction or normalized source metadata; no analytical inference,must be non-null; must belong to enum robotsStatus,2.1.2,f92380cdfc16967f1e363800cd9a575e44532f18a86b2f28f8c3e2404ed675e9
raw.sourceRegistry,Source authorization and coverage registry,7,historyStart,DATE,True,Earliest confirmed accessible date,,False,False,,,source authorization registry,direct extraction or normalized source metadata; no analytical inference,nullable value must preserve source missingness; no sentinel substitution,2.1.2,f92380cdfc16967f1e363800cd9a575e44532f18a86b2f28f8c3e2404ed675e9
raw.sourceRegistry,Source authorization and coverage registry,8,historyEnd,DATE,True,Latest confirmed accessible date,,False,False,,,source authorization registry,direct extraction or normalized source metadata; no analytical inference,nullable value must preserve source missingness; no sentinel substitution,2.1.2,f92380cdfc16967f1e363800cd9a575e44532f18a86b2f28f8c3e2404ed675e9
raw.sourceRegistry,Source authorization and coverage registry,9,historyStatus,VARCHAR,False,Historical coverage status,confirmed|partial|unavailable|unverified,False,False,'unverified',,source authorization registry,direct extraction or normalized source metadata; no analytical inference,must be non-null; must belong to enum historyStatus,2.1.2,f92380cdfc16967f1e363800cd9a575e44532f18a86b2f28f8c3e2404ed675e9
raw.sourceRegistry,Source authorization and coverage registry,10,paginationType,VARCHAR,True,Observed index pagination mechanism,page|cursor|infiniteScroll|internalJson|unknown,False,False,,,source authorization registry,direct extraction or normalized source metadata; no analytical inference,must belong to enum paginationType,2.1.2,f92380cdfc16967f1e363800cd9a575e44532f18a86b2f28f8c3e2404ed675e9
raw.sourceRegistry,Source authorization and coverage registry,11,verifiedAt,TIMESTAMPTZ,True,Last verification timestamp,,False,False,,,source authorization registry,direct extraction or normalized source metadata; no analytical inference,nullable value must preserve source missingness; no sentinel substitution,2.1.2,f92380cdfc16967f1e363800cd9a575e44532f18a86b2f28f8c3e2404ed675e9
raw.crawlRun,Collection run metadata,1,crawlRunId,VARCHAR,False,Stable run identifier,,True,False,,,collector runtime metadata,direct extraction or normalized source metadata; no analytical inference,non-null and unique within primary key of raw.crawlRun,2.1.2,f92380cdfc16967f1e363800cd9a575e44532f18a86b2f28f8c3e2404ed675e9
raw.crawlRun,Collection run metadata,2,sourceName,VARCHAR,False,Source name,,False,False,,,collector runtime metadata,direct extraction or normalized source metadata; no analytical inference,must be non-null,2.1.2,f92380cdfc16967f1e363800cd9a575e44532f18a86b2f28f8c3e2404ed675e9
raw.crawlRun,Collection run metadata,3,runPhase,VARCHAR,False,Audit index detail asset or NCS phase,,False,False,,,collector runtime metadata,direct extraction or normalized source metadata; no analytical inference,must be non-null,2.1.2,f92380cdfc16967f1e363800cd9a575e44532f18a86b2f28f8c3e2404ed675e9
raw.crawlRun,Collection run metadata,4,collectorVersion,VARCHAR,False,Collector version,,False,False,,,collector runtime metadata,direct extraction or normalized source metadata; no analytical inference,must be non-null,2.1.2,f92380cdfc16967f1e363800cd9a575e44532f18a86b2f28f8c3e2404ed675e9
raw.crawlRun,Collection run metadata,5,configSha256,VARCHAR,False,Configuration SHA-256,,False,False,,length(configSha256) = 64,collector runtime metadata,direct extraction or normalized source metadata; no analytical inference,must be non-null; must satisfy length(configSha256) = 64,2.1.2,f92380cdfc16967f1e363800cd9a575e44532f18a86b2f28f8c3e2404ed675e9
raw.crawlRun,Collection run metadata,6,startedAt,TIMESTAMPTZ,False,Run start,,False,False,,,collector runtime metadata,direct extraction or normalized source metadata; no analytical inference,must be non-null,2.1.2,f92380cdfc16967f1e363800cd9a575e44532f18a86b2f28f8c3e2404ed675e9
raw.crawlRun,Collection run metadata,7,endedAt,TIMESTAMPTZ,True,Run end,,False,False,,,collector runtime metadata,direct extraction or normalized source metadata; no analytical inference,nullable value must preserve source missingness; no sentinel substitution,2.1.2,f92380cdfc16967f1e363800cd9a575e44532f18a86b2f28f8c3e2404ed675e9
raw.crawlRun,Collection run metadata,8,status,VARCHAR,False,Run status,running|completed|aborted|failed|partial,False,False,,,collector runtime metadata,direct extraction or normalized source metadata; no analytical inference,must be non-null; must belong to enum runStatus,2.1.2,f92380cdfc16967f1e363800cd9a575e44532f18a86b2f28f8c3e2404ed675e9
raw.crawlRun,Collection run metadata,9,requestCount,INTEGER,False,Requests attempted,,False,False,0,requestCount >= 0,collector runtime metadata,direct extraction or normalized source metadata; no analytical inference,must be non-null; must satisfy requestCount >= 0,2.1.2,f92380cdfc16967f1e363800cd9a575e44532f18a86b2f28f8c3e2404ed675e9
raw.crawlRun,Collection run metadata,10,successCount,INTEGER,False,Successful requests,,False,False,0,successCount >= 0,collector runtime metadata,direct extraction or normalized source metadata; no analytical inference,must be non-null; must satisfy successCount >= 0,2.1.2,f92380cdfc16967f1e363800cd9a575e44532f18a86b2f28f8c3e2404ed675e9
raw.crawlRun,Collection run metadata,11,failCount,INTEGER,False,Failed requests,,False,False,0,failCount >= 0,collector runtime metadata,direct extraction or normalized source metadata; no analytical inference,must be non-null; must satisfy failCount >= 0,2.1.2,f92380cdfc16967f1e363800cd9a575e44532f18a86b2f28f8c3e2404ed675e9
raw.crawlRun,Collection run metadata,12,gitCommitSha,VARCHAR,True,Code monorepo commit,,False,False,,,collector runtime metadata,direct extraction or normalized source metadata; no analytical inference,nullable value must preserve source missingness; no sentinel substitution,2.1.2,f92380cdfc16967f1e363800cd9a575e44532f18a86b2f28f8c3e2404ed675e9
raw.linkareerIndexRaw,Immutable index discovery record,1,indexItemId,VARCHAR,False,Deterministic index record key,,True,False,,,Linkareer Calendar APQ response,direct extraction or normalized source metadata; no analytical inference,non-null and unique within primary key of raw.linkareerIndexRaw,2.1.2,f92380cdfc16967f1e363800cd9a575e44532f18a86b2f28f8c3e2404ed675e9
raw.linkareerIndexRaw,Immutable index discovery record,2,crawlRunId,VARCHAR,False,Collection run,,False,False,,,Linkareer Calendar APQ response,direct extraction or normalized source metadata; no analytical inference,must be non-null,2.1.2,f92380cdfc16967f1e363800cd9a575e44532f18a86b2f28f8c3e2404ed675e9
raw.linkareerIndexRaw,Immutable index discovery record,3,discoveryType,VARCHAR,False,Discovery route,,False,False,,,Linkareer Calendar APQ response,direct extraction or normalized source metadata; no analytical inference,must be non-null,2.1.2,f92380cdfc16967f1e363800cd9a575e44532f18a86b2f28f8c3e2404ed675e9
raw.linkareerIndexRaw,Immutable index discovery record,4,sourcePostingId,VARCHAR,True,Linkareer activity identifier,,False,False,,,Linkareer Calendar APQ response,direct extraction or normalized source metadata; no analytical inference,nullable value must preserve source missingness; no sentinel substitution,2.1.2,f92380cdfc16967f1e363800cd9a575e44532f18a86b2f28f8c3e2404ed675e9
raw.linkareerIndexRaw,Immutable index discovery record,5,detailUrl,VARCHAR,False,Detail URL,,False,False,,,Linkareer Calendar APQ response,direct extraction or normalized source metadata; no analytical inference,must be non-null,2.1.2,f92380cdfc16967f1e363800cd9a575e44532f18a86b2f28f8c3e2404ed675e9
raw.linkareerIndexRaw,Immutable index discovery record,6,titleRaw,VARCHAR,True,Raw title,,False,False,,,Linkareer Calendar APQ response,direct extraction or normalized source metadata; no analytical inference,nullable value must preserve source missingness; no sentinel substitution,2.1.2,f92380cdfc16967f1e363800cd9a575e44532f18a86b2f28f8c3e2404ed675e9
raw.linkareerIndexRaw,Immutable index discovery record,7,companyRaw,VARCHAR,True,Raw company,,False,False,,,Linkareer Calendar APQ response,direct extraction or normalized source metadata; no analytical inference,nullable value must preserve source missingness; no sentinel substitution,2.1.2,f92380cdfc16967f1e363800cd9a575e44532f18a86b2f28f8c3e2404ed675e9
raw.linkareerIndexRaw,Immutable index discovery record,8,postedAtRaw,VARCHAR,True,Raw posted date,,False,False,,,Linkareer Calendar APQ response,direct extraction or normalized source metadata; no analytical inference,nullable value must preserve source missingness; no sentinel substitution,2.1.2,f92380cdfc16967f1e363800cd9a575e44532f18a86b2f28f8c3e2404ed675e9
raw.linkareerIndexRaw,Immutable index discovery record,9,categoryRaw,VARCHAR,True,Raw category,,False,False,,,Linkareer Calendar APQ response,direct extraction or normalized source metadata; no analytical inference,nullable value must preserve source missingness; no sentinel substitution,2.1.2,f92380cdfc16967f1e363800cd9a575e44532f18a86b2f28f8c3e2404ed675e9
raw.linkareerIndexRaw,Immutable index discovery record,10,activityTypeId,VARCHAR,False,Linkareer activity type identifier; recruit is 5,,False,False,,,Linkareer Calendar APQ response,direct extraction or normalized source metadata; no analytical inference,must be non-null,2.1.2,f92380cdfc16967f1e363800cd9a575e44532f18a86b2f28f8c3e2404ed675e9
raw.linkareerIndexRaw,Immutable index discovery record,11,groupRaw,VARCHAR,True,Raw GraphQL activity group,,False,False,,,Linkareer Calendar APQ response,direct extraction or normalized source metadata; no analytical inference,nullable value must preserve source missingness; no sentinel substitution,2.1.2,f92380cdfc16967f1e363800cd9a575e44532f18a86b2f28f8c3e2404ed675e9
raw.linkareerIndexRaw,Immutable index discovery record,12,jobTypesRawJson,JSON,True,Raw listing-level jobTypes JSON,,False,False,,,Linkareer Calendar APQ response,direct extraction or normalized source metadata; no analytical inference,nullable value must preserve source missingness; no sentinel substitution,2.1.2,f92380cdfc16967f1e363800cd9a575e44532f18a86b2f28f8c3e2404ed675e9
raw.linkareerIndexRaw,Immutable index discovery record,13,recruitStartAt,TIMESTAMPTZ,True,Recruitment start time,,False,False,,,Linkareer Calendar APQ response,direct extraction or normalized source metadata; no analytical inference,nullable value must preserve source missingness; no sentinel substitution,2.1.2,f92380cdfc16967f1e363800cd9a575e44532f18a86b2f28f8c3e2404ed675e9
raw.linkareerIndexRaw,Immutable index discovery record,14,recruitCloseAt,TIMESTAMPTZ,True,Recruitment close time,,False,False,,,Linkareer Calendar APQ response,direct extraction or normalized source metadata; no analytical inference,nullable value must preserve source missingness; no sentinel substitution,2.1.2,f92380cdfc16967f1e363800cd9a575e44532f18a86b2f28f8c3e2404ed675e9
raw.linkareerIndexRaw,Immutable index discovery record,15,activityStartAt,TIMESTAMPTZ,True,Activity start time,,False,False,,,Linkareer Calendar APQ response,direct extraction or normalized source metadata; no analytical inference,nullable value must preserve source missingness; no sentinel substitution,2.1.2,f92380cdfc16967f1e363800cd9a575e44532f18a86b2f28f8c3e2404ed675e9
raw.linkareerIndexRaw,Immutable index discovery record,16,activityEndAt,TIMESTAMPTZ,True,Activity end time,,False,False,,,Linkareer Calendar APQ response,direct extraction or normalized source metadata; no analytical inference,nullable value must preserve source missingness; no sentinel substitution,2.1.2,f92380cdfc16967f1e363800cd9a575e44532f18a86b2f28f8c3e2404ed675e9
raw.linkareerIndexRaw,Immutable index discovery record,17,createdAt,TIMESTAMPTZ,True,Source entity creation time,,False,False,,,Linkareer Calendar APQ response,direct extraction or normalized source metadata; no analytical inference,nullable value must preserve source missingness; no sentinel substitution,2.1.2,f92380cdfc16967f1e363800cd9a575e44532f18a86b2f28f8c3e2404ed675e9
raw.linkareerIndexRaw,Immutable index discovery record,18,rawPath,VARCHAR,False,Immutable local raw path,,False,False,,,Linkareer Calendar APQ response,direct extraction or normalized source metadata; no analytical inference,must be non-null,2.1.2,f92380cdfc16967f1e363800cd9a575e44532f18a86b2f28f8c3e2404ed675e9
raw.linkareerIndexRaw,Immutable index discovery record,19,rawSha256,VARCHAR,False,Raw payload SHA-256,,False,False,,length(rawSha256) = 64,Linkareer Calendar APQ response,direct extraction or normalized source metadata; no analytical inference,must be non-null; must satisfy length(rawSha256) = 64,2.1.2,f92380cdfc16967f1e363800cd9a575e44532f18a86b2f28f8c3e2404ed675e9
raw.linkareerPostingRaw,Immutable posting detail snapshot; postingRawId is a superseded alias,1,rawPostingId,VARCHAR,False,Deterministic raw posting snapshot key,,True,False,,,Linkareer detail SSR __NEXT_DATA__ and Apollo cache,RAW_ + sha256(sourceName|sourcePostingId|rawSha256)[:20],non-null and unique within primary key of raw.linkareerPostingRaw,2.1.2,f92380cdfc16967f1e363800cd9a575e44532f18a86b2f28f8c3e2404ed675e9
raw.linkareerPostingRaw,Immutable posting detail snapshot; postingRawId is a superseded alias,2,indexItemId,VARCHAR,True,Index discovery record,,False,False,,,Linkareer detail SSR __NEXT_DATA__ and Apollo cache,direct extraction or normalized source metadata; no analytical inference,nullable value must preserve source missingness; no sentinel substitution,2.1.2,f92380cdfc16967f1e363800cd9a575e44532f18a86b2f28f8c3e2404ed675e9
raw.linkareerPostingRaw,Immutable posting detail snapshot; postingRawId is a superseded alias,3,crawlRunId,VARCHAR,False,Collection run,,False,False,,,Linkareer detail SSR __NEXT_DATA__ and Apollo cache,direct extraction or normalized source metadata; no analytical inference,must be non-null,2.1.2,f92380cdfc16967f1e363800cd9a575e44532f18a86b2f28f8c3e2404ed675e9
raw.linkareerPostingRaw,Immutable posting detail snapshot; postingRawId is a superseded alias,4,sourcePostingId,VARCHAR,False,Linkareer activity identifier,,False,False,,,Linkareer detail SSR __NEXT_DATA__ and Apollo cache,direct extraction or normalized source metadata; no analytical inference,must be non-null,2.1.2,f92380cdfc16967f1e363800cd9a575e44532f18a86b2f28f8c3e2404ed675e9
raw.linkareerPostingRaw,Immutable posting detail snapshot; postingRawId is a superseded alias,5,sourceUrl,VARCHAR,False,Posting URL,,False,False,,,Linkareer detail SSR __NEXT_DATA__ and Apollo cache,direct extraction or normalized source metadata; no analytical inference,must be non-null,2.1.2,f92380cdfc16967f1e363800cd9a575e44532f18a86b2f28f8c3e2404ed675e9
raw.linkareerPostingRaw,Immutable posting detail snapshot; postingRawId is a superseded alias,6,fetchedAt,TIMESTAMPTZ,False,Fetch timestamp,,False,False,,,Linkareer detail SSR __NEXT_DATA__ and Apollo cache,direct extraction or normalized source metadata; no analytical inference,must be non-null,2.1.2,f92380cdfc16967f1e363800cd9a575e44532f18a86b2f28f8c3e2404ed675e9
raw.linkareerPostingRaw,Immutable posting detail snapshot; postingRawId is a superseded alias,7,httpStatus,SMALLINT,False,HTTP status,,False,False,,httpStatus BETWEEN 100 AND 599,Linkareer detail SSR __NEXT_DATA__ and Apollo cache,direct extraction or normalized source metadata; no analytical inference,must be non-null; must satisfy httpStatus BETWEEN 100 AND 599,2.1.2,f92380cdfc16967f1e363800cd9a575e44532f18a86b2f28f8c3e2404ed675e9
raw.linkareerPostingRaw,Immutable posting detail snapshot; postingRawId is a superseded alias,8,contentType,VARCHAR,True,Response content type,,False,False,,,Linkareer detail SSR __NEXT_DATA__ and Apollo cache,direct extraction or normalized source metadata; no analytical inference,nullable value must preserve source missingness; no sentinel substitution,2.1.2,f92380cdfc16967f1e363800cd9a575e44532f18a86b2f28f8c3e2404ed675e9
raw.linkareerPostingRaw,Immutable posting detail snapshot; postingRawId is a superseded alias,9,rawPath,VARCHAR,False,Immutable payload path,,False,False,,,Linkareer detail SSR __NEXT_DATA__ and Apollo cache,direct extraction or normalized source metadata; no analytical inference,must be non-null,2.1.2,f92380cdfc16967f1e363800cd9a575e44532f18a86b2f28f8c3e2404ed675e9
raw.linkareerPostingRaw,Immutable posting detail snapshot; postingRawId is a superseded alias,10,rawSha256,VARCHAR,False,Payload SHA-256,,False,False,,length(rawSha256) = 64,Linkareer detail SSR __NEXT_DATA__ and Apollo cache,direct extraction or normalized source metadata; no analytical inference,must be non-null; must satisfy length(rawSha256) = 64,2.1.2,f92380cdfc16967f1e363800cd9a575e44532f18a86b2f28f8c3e2404ed675e9
raw.linkareerPostingRaw,Immutable posting detail snapshot; postingRawId is a superseded alias,11,textAvailableFlag,BOOLEAN,False,Text body available,,False,False,False,,Linkareer detail SSR __NEXT_DATA__ and Apollo cache,direct extraction or normalized source metadata; no analytical inference,must be non-null,2.1.2,f92380cdfc16967f1e363800cd9a575e44532f18a86b2f28f8c3e2404ed675e9
raw.linkareerPostingRaw,Immutable posting detail snapshot; postingRawId is a superseded alias,12,assetCount,SMALLINT,False,Asset count,,False,False,0,assetCount >= 0,Linkareer detail SSR __NEXT_DATA__ and Apollo cache,direct extraction or normalized source metadata; no analytical inference,must be non-null; must satisfy assetCount >= 0,2.1.2,f92380cdfc16967f1e363800cd9a575e44532f18a86b2f28f8c3e2404ed675e9
raw.linkareerPostingRaw,Immutable posting detail snapshot; postingRawId is a superseded alias,13,nextDataJsonPath,VARCHAR,True,Local path to extracted __NEXT_DATA__ JSON,,False,False,,,Linkareer detail SSR __NEXT_DATA__ and Apollo cache,direct extraction or normalized source metadata; no analytical inference,nullable value must preserve source missingness; no sentinel substitution,2.1.2,f92380cdfc16967f1e363800cd9a575e44532f18a86b2f28f8c3e2404ed675e9
raw.linkareerPostingRaw,Immutable posting detail snapshot; postingRawId is a superseded alias,14,activityJsonPath,VARCHAR,True,Local path to normalized Activity entity JSON,,False,False,,,Linkareer detail SSR __NEXT_DATA__ and Apollo cache,direct extraction or normalized source metadata; no analytical inference,nullable value must preserve source missingness; no sentinel substitution,2.1.2,f92380cdfc16967f1e363800cd9a575e44532f18a86b2f28f8c3e2404ed675e9
raw.linkareerPostingRaw,Immutable posting detail snapshot; postingRawId is a superseded alias,15,apolloCacheJsonPath,VARCHAR,True,Local path to extracted Apollo cache JSON,,False,False,,,Linkareer detail SSR __NEXT_DATA__ and Apollo cache,direct extraction or normalized source metadata; no analytical inference,nullable value must preserve source missingness; no sentinel substitution,2.1.2,f92380cdfc16967f1e363800cd9a575e44532f18a86b2f28f8c3e2404ed675e9
raw.linkareerPostingRaw,Immutable posting detail snapshot; postingRawId is a superseded alias,16,activityTextEntityKey,VARCHAR,True,Apollo cache key for ActivityText entity,,False,False,,,Linkareer detail SSR __NEXT_DATA__ and Apollo cache,direct extraction or normalized source metadata; no analytical inference,nullable value must preserve source missingness; no sentinel substitution,2.1.2,f92380cdfc16967f1e363800cd9a575e44532f18a86b2f28f8c3e2404ed675e9
raw.linkareerPostingRaw,Immutable posting detail snapshot; postingRawId is a superseded alias,17,dutiesRawJson,JSON,True,Raw duties array including duties[].jobType from SSR activity entity,,False,False,,,Linkareer detail SSR __NEXT_DATA__ and Apollo cache,direct extraction or normalized source metadata; no analytical inference,nullable value must preserve source missingness; no sentinel substitution,2.1.2,f92380cdfc16967f1e363800cd9a575e44532f18a86b2f28f8c3e2404ed675e9
raw.linkareerPostingRaw,Immutable posting detail snapshot; postingRawId is a superseded alias,18,activityTextHtml,VARCHAR,True,Raw ActivityText.text HTML from Apollo cache,,False,False,,,Linkareer detail SSR __NEXT_DATA__ and Apollo cache,direct extraction or normalized source metadata; no analytical inference,nullable value must preserve source missingness; no sentinel substitution,2.1.2,f92380cdfc16967f1e363800cd9a575e44532f18a86b2f28f8c3e2404ed675e9
raw.linkareerPostingRaw,Immutable posting detail snapshot; postingRawId is a superseded alias,19,activityTextAvailableFlag,BOOLEAN,False,ActivityText.text is available,,False,False,False,,Linkareer detail SSR __NEXT_DATA__ and Apollo cache,direct extraction or normalized source metadata; no analytical inference,must be non-null,2.1.2,f92380cdfc16967f1e363800cd9a575e44532f18a86b2f28f8c3e2404ed675e9
raw.linkareerPostingRaw,Immutable posting detail snapshot; postingRawId is a superseded alias,20,externalApplyUrl,VARCHAR,True,External application or ATS URL,,False,False,,,Linkareer detail SSR __NEXT_DATA__ and Apollo cache,direct extraction or normalized source metadata; no analytical inference,nullable value must preserve source missingness; no sentinel substitution,2.1.2,f92380cdfc16967f1e363800cd9a575e44532f18a86b2f28f8c3e2404ed675e9
raw.linkareerPostingRaw,Immutable posting detail snapshot; postingRawId is a superseded alias,21,externalApplyFlag,BOOLEAN,False,External apply destination is present,,False,False,False,,Linkareer detail SSR __NEXT_DATA__ and Apollo cache,direct extraction or normalized source metadata; no analytical inference,must be non-null,2.1.2,f92380cdfc16967f1e363800cd9a575e44532f18a86b2f28f8c3e2404ed675e9
raw.linkareerPostingRaw,Immutable posting detail snapshot; postingRawId is a superseded alias,22,externalAtsDomain,VARCHAR,True,Normalized external ATS domain,,False,False,,,Linkareer detail SSR __NEXT_DATA__ and Apollo cache,direct extraction or normalized source metadata; no analytical inference,nullable value must preserve source missingness; no sentinel substitution,2.1.2,f92380cdfc16967f1e363800cd9a575e44532f18a86b2f28f8c3e2404ed675e9
raw.linkareerPostingRaw,Immutable posting detail snapshot; postingRawId is a superseded alias,23,externalDetailOnlyFlag,BOOLEAN,False,Full detail exists only on external ATS,,False,False,False,,Linkareer detail SSR __NEXT_DATA__ and Apollo cache,direct extraction or normalized source metadata; no analytical inference,must be non-null,2.1.2,f92380cdfc16967f1e363800cd9a575e44532f18a86b2f28f8c3e2404ed675e9
raw.postingAsset,Posting image PDF or attachment lineage,1,assetId,VARCHAR,False,Asset key,,True,False,,,Linkareer posting asset metadata,direct extraction or normalized source metadata; no analytical inference,non-null and unique within primary key of raw.postingAsset,2.1.2,f92380cdfc16967f1e363800cd9a575e44532f18a86b2f28f8c3e2404ed675e9
raw.postingAsset,Posting image PDF or attachment lineage,2,rawPostingId,VARCHAR,False,Raw posting key,,False,False,,,Linkareer posting asset metadata,RAW_ + sha256(sourceName|sourcePostingId|rawSha256)[:20],must be non-null,2.1.2,f92380cdfc16967f1e363800cd9a575e44532f18a86b2f28f8c3e2404ed675e9
raw.postingAsset,Posting image PDF or attachment lineage,3,assetType,VARCHAR,False,Asset type,image|pdf|attachment|other,False,False,,,Linkareer posting asset metadata,direct extraction or normalized source metadata; no analytical inference,must be non-null; must belong to the inline enum,2.1.2,f92380cdfc16967f1e363800cd9a575e44532f18a86b2f28f8c3e2404ed675e9
raw.postingAsset,Posting image PDF or attachment lineage,4,assetUrl,VARCHAR,True,Source URL,,False,False,,,Linkareer posting asset metadata,direct extraction or normalized source metadata; no analytical inference,nullable value must preserve source missingness; no sentinel substitution,2.1.2,f92380cdfc16967f1e363800cd9a575e44532f18a86b2f28f8c3e2404ed675e9
