branch,baseCommit,headCommit,dataVersion,runId,rawStorageRootId,path,changeType,integrationBlobSha,crawlAuthorityBlobSha,classification,chosenAuthority,reason,owner,resolutionStatus,requiredA3Action,sourceOrGenerated
agent/p4-a1-reconcile-crawl-authority-v1,5508fce02ba5396b5d5a55870f1f879c1f32e8e0,92207e8fe7cc445c7426218da06b0b064f9df941,observed-dev-reconciliation-20260807.1,A1_RECON_20260807_01,P4_RAW_OBSERVED_20260806_01,crawl/control/tests/test_control.py,M,b120cf87e60015cec93d43cf7687533b95c3650b,4cf72316daafe0d51e5e3d264ae2707222e0c101,SOURCE_CODE,CRAWL_HANDOFF,Audited crawl source/control/test authority selected over integration drift.,A1,IMPORTED,CONSUME_RECONCILIATION_COMMIT,SOURCE
agent/p4-a1-reconcile-crawl-authority-v1,5508fce02ba5396b5d5a55870f1f879c1f32e8e0,92207e8fe7cc445c7426218da06b0b064f9df941,observed-dev-reconciliation-20260807.1,A1_RECON_20260807_01,P4_RAW_OBSERVED_20260806_01,crawl/control/tests/test_current_run_manifest.py,A,,c61e3757cc4d2df81f68e6b73a7115125afa5f46,SOURCE_CODE,CRAWL_HANDOFF,Audited crawl source/control/test authority selected over integration drift.,A1,IMPORTED,CONSUME_RECONCILIATION_COMMIT,SOURCE
agent/p4-a1-reconcile-crawl-authority-v1,5508fce02ba5396b5d5a55870f1f879c1f32e8e0,92207e8fe7cc445c7426218da06b0b064f9df941,observed-dev-reconciliation-20260807.1,A1_RECON_20260807_01,P4_RAW_OBSERVED_20260806_01,crawl/control/tests/test_notebook_topology.py,A,,2be78e289cae22a51a174094868034496ab3838a,SOURCE_CODE,CRAWL_HANDOFF,Audited crawl source/control/test authority selected over integration drift.,A1,IMPORTED,CONSUME_RECONCILIATION_COMMIT,SOURCE
agent/p4-a1-reconcile-crawl-authority-v1,5508fce02ba5396b5d5a55870f1f879c1f32e8e0,92207e8fe7cc445c7426218da06b0b064f9df941,observed-dev-reconciliation-20260807.1,A1_RECON_20260807_01,P4_RAW_OBSERVED_20260806_01,crawl/control/validate_control.py,M,04327155545e02bc7f0f83c07d35ec442c0cede9,c1002a18ed79ee481b8ea9d06c4748644808a957,SOURCE_CODE,CRAWL_HANDOFF,Audited crawl source/control/test authority selected over integration drift.,A1,IMPORTED,CONSUME_RECONCILIATION_COMMIT,SOURCE
agent/p4-a1-reconcile-crawl-authority-v1,5508fce02ba5396b5d5a55870f1f879c1f32e8e0,92207e8fe7cc445c7426218da06b0b064f9df941,observed-dev-reconciliation-20260807.1,A1_RECON_20260807_01,P4_RAW_OBSERVED_20260806_01,crawl/notebooks/00RecoverSourceState.ipynb,M,e2ac504a343e36a2806b44bf863e56681a4e851c,10d694b502ed03da1da957e41bcaf83fab62ed59,NOTEBOOK_SOURCE,CRAWL_HANDOFF,Audited source Notebook blob and normalized cell authority selected.,A1,IMPORTED,CONSUME_RECONCILIATION_COMMIT,SOURCE
agent/p4-a1-reconcile-crawl-authority-v1,5508fce02ba5396b5d5a55870f1f879c1f32e8e0,92207e8fe7cc445c7426218da06b0b064f9df941,observed-dev-reconciliation-20260807.1,A1_RECON_20260807_01,P4_RAW_OBSERVED_20260806_01,crawl/notebooks/01CollectLinkareerIndex.ipynb,M,1f2660f46be6d501bd9aadad806e5fe3c1e5e916,bac8aecfd85706f7729e45c3162a3cc4c79266fd,NOTEBOOK_SOURCE,CRAWL_HANDOFF,Audited source Notebook blob and normalized cell authority selected.,A1,IMPORTED,CONSUME_RECONCILIATION_COMMIT,SOURCE
agent/p4-a1-reconcile-crawl-authority-v1,5508fce02ba5396b5d5a55870f1f879c1f32e8e0,92207e8fe7cc445c7426218da06b0b064f9df941,observed-dev-reconciliation-20260807.1,A1_RECON_20260807_01,P4_RAW_OBSERVED_20260806_01,crawl/notebooks/02CollectPostingDetail.ipynb,M,0c60c23b4c4ced8c221833036c8733b1dae2e2ce,c92a2ce8bddd605986d7df81ee8d6f756ace33ee,NOTEBOOK_SOURCE,CRAWL_HANDOFF,Audited source Notebook blob and normalized cell authority selected.,A1,IMPORTED,CONSUME_RECONCILIATION_COMMIT,SOURCE
agent/p4-a1-reconcile-crawl-authority-v1,5508fce02ba5396b5d5a55870f1f879c1f32e8e0,92207e8fe7cc445c7426218da06b0b064f9df941,observed-dev-reconciliation-20260807.1,A1_RECON_20260807_01,P4_RAW_OBSERVED_20260806_01,crawl/notebooks/03CollectPostingAssets.ipynb,M,ac434ff81b28fd9a036b198dd4be18f03c0a2e33,fa627d18929db367564f799073f8f6f113166d37,NOTEBOOK_SOURCE,CRAWL_HANDOFF,Audited source Notebook blob and normalized cell authority selected.,A1,IMPORTED,CONSUME_RECONCILIATION_COMMIT,SOURCE
agent/p4-a1-reconcile-crawl-authority-v1,5508fce02ba5396b5d5a55870f1f879c1f32e8e0,92207e8fe7cc445c7426218da06b0b064f9df941,observed-dev-reconciliation-20260807.1,A1_RECON_20260807_01,P4_RAW_OBSERVED_20260806_01,crawl/notebooks/04BuildCrawlRelease.ipynb,M,499ca85e1da55754492f731cfb2711d579935735,ab22d6474f1db916103a2b438edf8d404165248b,NOTEBOOK_SOURCE,CRAWL_HANDOFF,Audited source Notebook blob and normalized cell authority selected.,A1,IMPORTED,CONSUME_RECONCILIATION_COMMIT,SOURCE
agent/p4-a1-reconcile-crawl-authority-v1,5508fce02ba5396b5d5a55870f1f879c1f32e8e0,92207e8fe7cc445c7426218da06b0b064f9df941,observed-dev-reconciliation-20260807.1,A1_RECON_20260807_01,P4_RAW_OBSERVED_20260806_01,crawl/notebooks/P4_Notebook_First_Master.ipynb,M,8b50cbdebdff834f2a0cd68c21a0ce0e2a91eadb,b7b11629339383d1071544240a6b016de3f014d4,NOTEBOOK_SOURCE,CRAWL_HANDOFF,Audited source Notebook blob and normalized cell authority selected.,A1,IMPORTED,CONSUME_RECONCILIATION_COMMIT,SOURCE
agent/p4-a1-reconcile-crawl-authority-v1,5508fce02ba5396b5d5a55870f1f879c1f32e8e0,92207e8fe7cc445c7426218da06b0b064f9df941,observed-dev-reconciliation-20260807.1,A1_RECON_20260807_01,P4_RAW_OBSERVED_20260806_01,crawl/pyproject.toml,A,,6069d74dddf9bdf6eb2987e9d87014b45c3fd082,SOURCE_CODE,CRAWL_HANDOFF,Audited crawl source/control/test authority selected over integration drift.,A1,IMPORTED,CONSUME_RECONCILIATION_COMMIT,SOURCE
agent/p4-a1-reconcile-crawl-authority-v1,5508fce02ba5396b5d5a55870f1f879c1f32e8e0,92207e8fe7cc445c7426218da06b0b064f9df941,observed-dev-reconciliation-20260807.1,A1_RECON_20260807_01,P4_RAW_OBSERVED_20260806_01,crawl/reports/agent5_notebook_audit/AGENT5_CRAWL_NOTEBOOK_DEEP_AUDIT.json,D,8bef0391b2f3f1bc34f0f42f92fbb192866122c4,,GENERATED_EVIDENCE,INTEGRATION_RETAINED,"Generated evidence is retained or referenced, never selected as source authority.",A1/A5,RETAINED,RETAIN_EXISTING_EVIDENCE,GENERATED
agent/p4-a1-reconcile-crawl-authority-v1,5508fce02ba5396b5d5a55870f1f879c1f32e8e0,92207e8fe7cc445c7426218da06b0b064f9df941,observed-dev-reconciliation-20260807.1,A1_RECON_20260807_01,P4_RAW_OBSERVED_20260806_01,crawl/reports/agent5_notebook_audit/AGENT5_CRAWL_NOTEBOOK_DEEP_AUDIT.md,D,15dbde92538fa109d4785e0b43f32f1cf024f41b,,GENERATED_EVIDENCE,INTEGRATION_RETAINED,"Generated evidence is retained or referenced, never selected as source authority.",A1/A5,RETAINED,RETAIN_EXISTING_EVIDENCE,GENERATED
agent/p4-a1-reconcile-crawl-authority-v1,5508fce02ba5396b5d5a55870f1f879c1f32e8e0,92207e8fe7cc445c7426218da06b0b064f9df941,observed-dev-reconciliation-20260807.1,A1_RECON_20260807_01,P4_RAW_OBSERVED_20260806_01,crawl/reports/agent5_notebook_audit/AGENT5_NOTEBOOK_DEFECT_REGISTER.csv,D,ecf2e6d002f83ecdf69483321be2c74d61a1916a,,GENERATED_EVIDENCE,INTEGRATION_RETAINED,"Generated evidence is retained or referenced, never selected as source authority.",A1/A5,RETAINED,RETAIN_EXISTING_EVIDENCE,GENERATED
agent/p4-a1-reconcile-crawl-authority-v1,5508fce02ba5396b5d5a55870f1f879c1f32e8e0,92207e8fe7cc445c7426218da06b0b064f9df941,observed-dev-reconciliation-20260807.1,A1_RECON_20260807_01,P4_RAW_OBSERVED_20260806_01,crawl/reports/agent5_notebook_audit/AGENT5_USER_DECISION_PACKET.json,D,fe2b4285da02ac7e197e773bce7c87e1738d3a54,,GENERATED_EVIDENCE,INTEGRATION_RETAINED,"Generated evidence is retained or referenced, never selected as source authority.",A1/A5,RETAINED,RETAIN_EXISTING_EVIDENCE,GENERATED
agent/p4-a1-reconcile-crawl-authority-v1,5508fce02ba5396b5d5a55870f1f879c1f32e8e0,92207e8fe7cc445c7426218da06b0b064f9df941,observed-dev-reconciliation-20260807.1,A1_RECON_20260807_01,P4_RAW_OBSERVED_20260806_01,crawl/reports/agent5_notebook_audit/AGENT5_USER_DECISION_PACKET.md,D,d23c567472247cc6e4f02aeefe7d2e87d5c3dc38,,GENERATED_EVIDENCE,INTEGRATION_RETAINED,"Generated evidence is retained or referenced, never selected as source authority.",A1/A5,RETAINED,RETAIN_EXISTING_EVIDENCE,GENERATED
agent/p4-a1-reconcile-crawl-authority-v1,5508fce02ba5396b5d5a55870f1f879c1f32e8e0,92207e8fe7cc445c7426218da06b0b064f9df941,observed-dev-reconciliation-20260807.1,A1_RECON_20260807_01,P4_RAW_OBSERVED_20260806_01,crawl/reports/agent5_notebook_audit/EVIDENCE_MANIFEST.sha256,D,f295a6e1e197d0a80b2a73054db4f64b9a0245ae,,GENERATED_EVIDENCE,INTEGRATION_RETAINED,"Generated evidence is retained or referenced, never selected as source authority.",A1/A5,RETAINED,RETAIN_EXISTING_EVIDENCE,GENERATED
agent/p4-a1-reconcile-crawl-authority-v1,5508fce02ba5396b5d5a55870f1f879c1f32e8e0,92207e8fe7cc445c7426218da06b0b064f9df941,observed-dev-reconciliation-20260807.1,A1_RECON_20260807_01,P4_RAW_OBSERVED_20260806_01,crawl/reports/agent5_notebook_audit/NOTEBOOK_CELL_FORENSIC_INVENTORY.csv,D,4cacd9ee313a5a2e97ff0e1dab3ee4d21a746325,,GENERATED_EVIDENCE,INTEGRATION_RETAINED,"Generated evidence is retained or referenced, never selected as source authority.",A1/A5,RETAINED,RETAIN_EXISTING_EVIDENCE,GENERATED
agent/p4-a1-reconcile-crawl-authority-v1,5508fce02ba5396b5d5a55870f1f879c1f32e8e0,92207e8fe7cc445c7426218da06b0b064f9df941,observed-dev-reconciliation-20260807.1,A1_RECON_20260807_01,P4_RAW_OBSERVED_20260806_01,crawl/reports/agent5_notebook_audit/NOTEBOOK_CHECKSUM_AUDIT.csv,D,c9b08214c0b13ec532d97f7dd3ee97705de6a508,,GENERATED_EVIDENCE,INTEGRATION_RETAINED,"Generated evidence is retained or referenced, never selected as source authority.",A1/A5,RETAINED,RETAIN_EXISTING_EVIDENCE,GENERATED
agent/p4-a1-reconcile-crawl-authority-v1,5508fce02ba5396b5d5a55870f1f879c1f32e8e0,92207e8fe7cc445c7426218da06b0b064f9df941,observed-dev-reconciliation-20260807.1,A1_RECON_20260807_01,P4_RAW_OBSERVED_20260806_01,crawl/reports/agent5_notebook_audit/NOTEBOOK_DATA_IO_LINEAGE.csv,D,289717aea8d53ec016beeb83acaa5e92f9c55548,,GENERATED_EVIDENCE,INTEGRATION_RETAINED,"Generated evidence is retained or referenced, never selected as source authority.",A1/A5,RETAINED,RETAIN_EXISTING_EVIDENCE,GENERATED
agent/p4-a1-reconcile-crawl-authority-v1,5508fce02ba5396b5d5a55870f1f879c1f32e8e0,92207e8fe7cc445c7426218da06b0b064f9df941,observed-dev-reconciliation-20260807.1,A1_RECON_20260807_01,P4_RAW_OBSERVED_20260806_01,crawl/reports/agent5_notebook_audit/NOTEBOOK_DEPENDENCY_GRAPH.mmd,D,6dc1220f796df4b726c493e1974d9126c6499528,,GENERATED_EVIDENCE,INTEGRATION_RETAINED,"Generated evidence is retained or referenced, never selected as source authority.",A1/A5,RETAINED,RETAIN_EXISTING_EVIDENCE,GENERATED
agent/p4-a1-reconcile-crawl-authority-v1,5508fce02ba5396b5d5a55870f1f879c1f32e8e0,92207e8fe7cc445c7426218da06b0b064f9df941,observed-dev-reconciliation-20260807.1,A1_RECON_20260807_01,P4_RAW_OBSERVED_20260806_01,crawl/reports/agent5_notebook_audit/NOTEBOOK_EXECUTION_SAFETY_MATRIX.csv,D,20a6e225607be0cd9ee447ebf3703df877aae3db,,GENERATED_EVIDENCE,INTEGRATION_RETAINED,"Generated evidence is retained or referenced, never selected as source authority.",A1/A5,RETAINED,RETAIN_EXISTING_EVIDENCE,GENERATED
agent/p4-a1-reconcile-crawl-authority-v1,5508fce02ba5396b5d5a55870f1f879c1f32e8e0,92207e8fe7cc445c7426218da06b0b064f9df941,observed-dev-reconciliation-20260807.1,A1_RECON_20260807_01,P4_RAW_OBSERVED_20260806_01,crawl/reports/agent5_notebook_audit/NOTEBOOK_FILE_INTEGRITY.csv,D,504925597a142fa88d99d9d70507b1363a1b4498,,GENERATED_EVIDENCE,INTEGRATION_RETAINED,"Generated evidence is retained or referenced, never selected as source authority.",A1/A5,RETAINED,RETAIN_EXISTING_EVIDENCE,GENERATED
agent/p4-a1-reconcile-crawl-authority-v1,5508fce02ba5396b5d5a55870f1f879c1f32e8e0,92207e8fe7cc445c7426218da06b0b064f9df941,observed-dev-reconciliation-20260807.1,A1_RECON_20260807_01,P4_RAW_OBSERVED_20260806_01,crawl/reports/agent5_notebook_audit/NOTEBOOK_MODULE_DEPENDENCY_MATRIX.csv,D,8fa13e86a2337bb1c428d1e3b40b3884e8318e3a,,GENERATED_EVIDENCE,INTEGRATION_RETAINED,"Generated evidence is retained or referenced, never selected as source authority.",A1/A5,RETAINED,RETAIN_EXISTING_EVIDENCE,GENERATED
agent/p4-a1-reconcile-crawl-authority-v1,5508fce02ba5396b5d5a55870f1f879c1f32e8e0,92207e8fe7cc445c7426218da06b0b064f9df941,observed-dev-reconciliation-20260807.1,A1_RECON_20260807_01,P4_RAW_OBSERVED_20260806_01,crawl/reports/agent5_notebook_audit/NOTEBOOK_RUNTIME_DEPENDENCY_MATRIX.csv,D,969b5cc53077988cd37db155dee7012330cc1374,,GENERATED_EVIDENCE,INTEGRATION_RETAINED,"Generated evidence is retained or referenced, never selected as source authority.",A1/A5,RETAINED,RETAIN_EXISTING_EVIDENCE,GENERATED
agent/p4-a1-reconcile-crawl-authority-v1,5508fce02ba5396b5d5a55870f1f879c1f32e8e0,92207e8fe7cc445c7426218da06b0b064f9df941,observed-dev-reconciliation-20260807.1,A1_RECON_20260807_01,P4_RAW_OBSERVED_20260806_01,crawl/reports/agent5_notebook_audit/NOTEBOOK_SOURCE_EXECUTED_PARITY.csv,D,c75eee60e9b8a70dc08b6a6e1ae6abd891de9c89,,GENERATED_EVIDENCE,INTEGRATION_RETAINED,"Generated evidence is retained or referenced, never selected as source authority.",A1/A5,RETAINED,RETAIN_EXISTING_EVIDENCE,GENERATED
agent/p4-a1-reconcile-crawl-authority-v1,5508fce02ba5396b5d5a55870f1f879c1f32e8e0,92207e8fe7cc445c7426218da06b0b064f9df941,observed-dev-reconciliation-20260807.1,A1_RECON_20260807_01,P4_RAW_OBSERVED_20260806_01,crawl/reports/agent5_notebook_audit/NOTEBOOK_STAGE_PROGRESS_MATRIX.csv,D,2f742655d03904e41f95f601cd0891e0aa3ac7fd,,GENERATED_EVIDENCE,INTEGRATION_RETAINED,"Generated evidence is retained or referenced, never selected as source authority.",A1/A5,RETAINED,RETAIN_EXISTING_EVIDENCE,GENERATED
agent/p4-a1-reconcile-crawl-authority-v1,5508fce02ba5396b5d5a55870f1f879c1f32e8e0,92207e8fe7cc445c7426218da06b0b064f9df941,observed-dev-reconciliation-20260807.1,A1_RECON_20260807_01,P4_RAW_OBSERVED_20260806_01,crawl/reports/m1/AGENT1_NOTEBOOK_MODULE_CALL_MATRIX.csv,M,4aea3003b56aedfef84ee5448186567f89c8c73e,cc35fc680a5b0b297b226c9558b34f010ce4df55,GENERATED_EVIDENCE,CRAWL_HANDOFF_EVIDENCE_REFERENCE,"Generated evidence is retained or referenced, never selected as source authority.",A1/A5,REFERENCED_NOT_SOURCE,DO_NOT_TREAT_AS_SOURCE_AUTHORITY,GENERATED
agent/p4-a1-reconcile-crawl-authority-v1,5508fce02ba5396b5d5a55870f1f879c1f32e8e0,92207e8fe7cc445c7426218da06b0b064f9df941,observed-dev-reconciliation-20260807.1,A1_RECON_20260807_01,P4_RAW_OBSERVED_20260806_01,crawl/reports/m1_5_control_patch/CHECKSUMS.sha256,A,,5b32d0ff9b64b40381ae91ec1fc674e1e683c0f2,GENERATED_EVIDENCE,CRAWL_HANDOFF_EVIDENCE_REFERENCE,"Generated evidence is retained or referenced, never selected as source authority.",A1/A5,REFERENCED_NOT_SOURCE,DO_NOT_TREAT_AS_SOURCE_AUTHORITY,GENERATED
agent/p4-a1-reconcile-crawl-authority-v1,5508fce02ba5396b5d5a55870f1f879c1f32e8e0,92207e8fe7cc445c7426218da06b0b064f9df941,observed-dev-reconciliation-20260807.1,A1_RECON_20260807_01,P4_RAW_OBSERVED_20260806_01,crawl/reports/m1_5_control_patch/CRAWL_CURRENT_RUN_MANIFEST_AUDIT.csv,A,,44efe8426a7992e8eb638c6f46efd3f1c02e62a2,GENERATED_EVIDENCE,CRAWL_HANDOFF_EVIDENCE_REFERENCE,"Generated evidence is retained or referenced, never selected as source authority.",A1/A5,REFERENCED_NOT_SOURCE,DO_NOT_TREAT_AS_SOURCE_AUTHORITY,GENERATED
agent/p4-a1-reconcile-crawl-authority-v1,5508fce02ba5396b5d5a55870f1f879c1f32e8e0,92207e8fe7cc445c7426218da06b0b064f9df941,observed-dev-reconciliation-20260807.1,A1_RECON_20260807_01,P4_RAW_OBSERVED_20260806_01,crawl/reports/m1_5_control_patch/CRAWL_M1_5_DEFECT_REGISTER.csv,A,,f5d0ee04d7c09cb2be5eb6368ff0b0da0ee922e7,GENERATED_EVIDENCE,CRAWL_HANDOFF_EVIDENCE_REFERENCE,"Generated evidence is retained or referenced, never selected as source authority.",A1/A5,REFERENCED_NOT_SOURCE,DO_NOT_TREAT_AS_SOURCE_AUTHORITY,GENERATED
agent/p4-a1-reconcile-crawl-authority-v1,5508fce02ba5396b5d5a55870f1f879c1f32e8e0,92207e8fe7cc445c7426218da06b0b064f9df941,observed-dev-reconciliation-20260807.1,A1_RECON_20260807_01,P4_RAW_OBSERVED_20260806_01,crawl/reports/m1_5_control_patch/CRAWL_M1_5_GATE_STATUS.csv,A,,697faccf4ca8640c5cbba8becffbb7e1abfe044c,GENERATED_EVIDENCE,CRAWL_HANDOFF_EVIDENCE_REFERENCE,"Generated evidence is retained or referenced, never selected as source authority.",A1/A5,REFERENCED_NOT_SOURCE,DO_NOT_TREAT_AS_SOURCE_AUTHORITY,GENERATED
agent/p4-a1-reconcile-crawl-authority-v1,5508fce02ba5396b5d5a55870f1f879c1f32e8e0,92207e8fe7cc445c7426218da06b0b064f9df941,observed-dev-reconciliation-20260807.1,A1_RECON_20260807_01,P4_RAW_OBSERVED_20260806_01,crawl/reports/m1_5_control_patch/CRAWL_M1_5_PATCH_DEFECT_REGISTER.csv,A,,f5d0ee04d7c09cb2be5eb6368ff0b0da0ee922e7,GENERATED_EVIDENCE,CRAWL_HANDOFF_EVIDENCE_REFERENCE,"Generated evidence is retained or referenced, never selected as source authority.",A1/A5,REFERENCED_NOT_SOURCE,DO_NOT_TREAT_AS_SOURCE_AUTHORITY,GENERATED
agent/p4-a1-reconcile-crawl-authority-v1,5508fce02ba5396b5d5a55870f1f879c1f32e8e0,92207e8fe7cc445c7426218da06b0b064f9df941,observed-dev-reconciliation-20260807.1,A1_RECON_20260807_01,P4_RAW_OBSERVED_20260806_01,crawl/reports/m1_5_control_patch/CRAWL_M1_5_PATCH_MANIFEST.json,A,,38a5fe3b5d2306d615e29a6c9fca375203626ece,GENERATED_EVIDENCE,CRAWL_HANDOFF_EVIDENCE_REFERENCE,"Generated evidence is retained or referenced, never selected as source authority.",A1/A5,REFERENCED_NOT_SOURCE,DO_NOT_TREAT_AS_SOURCE_AUTHORITY,GENERATED
agent/p4-a1-reconcile-crawl-authority-v1,5508fce02ba5396b5d5a55870f1f879c1f32e8e0,92207e8fe7cc445c7426218da06b0b064f9df941,observed-dev-reconciliation-20260807.1,A1_RECON_20260807_01,P4_RAW_OBSERVED_20260806_01,crawl/reports/m1_5_control_patch/CRAWL_M1_5_PATCH_REPORT.md,A,,4ea537ff72b71920bfa08ca28485bb29fc1d0b59,GENERATED_EVIDENCE,CRAWL_HANDOFF_EVIDENCE_REFERENCE,"Generated evidence is retained or referenced, never selected as source authority.",A1/A5,REFERENCED_NOT_SOURCE,DO_NOT_TREAT_AS_SOURCE_AUTHORITY,GENERATED
agent/p4-a1-reconcile-crawl-authority-v1,5508fce02ba5396b5d5a55870f1f879c1f32e8e0,92207e8fe7cc445c7426218da06b0b064f9df941,observed-dev-reconciliation-20260807.1,A1_RECON_20260807_01,P4_RAW_OBSERVED_20260806_01,crawl/reports/m1_5_control_patch/CRAWL_NOTEBOOK_SOURCE_BLOB_MANIFEST.csv,A,,053e30440d15616c9cfaf3d6f7368cddcf4878fa,GENERATED_EVIDENCE,CRAWL_HANDOFF_EVIDENCE_REFERENCE,"Generated evidence is retained or referenced, never selected as source authority.",A1/A5,REFERENCED_NOT_SOURCE,DO_NOT_TREAT_AS_SOURCE_AUTHORITY,GENERATED
