branch,baseCommit,headCommit,dataVersion,runId,rawStorageRootId,producerStageId,consumerStageId,producerOrder,consumerOrder,status,cycleDetected,orderingViolation
agent/p4-a1-reconcile-crawl-authority-v1,5508fce02ba5396b5d5a55870f1f879c1f32e8e0,92207e8fe7cc445c7426218da06b0b064f9df941,observed-dev-reconciliation-20260807.1,A1_RECON_20260807_01,P4_RAW_OBSERVED_20260806_01,A4-03-MAP-OBSERVED,A2-09-NCS-MAP,17,20,PASS,False,False
agent/p4-a1-reconcile-crawl-authority-v1,5508fce02ba5396b5d5a55870f1f879c1f32e8e0,92207e8fe7cc445c7426218da06b0b064f9df941,observed-dev-reconciliation-20260807.1,A1_RECON_20260807_01,P4_RAW_OBSERVED_20260806_01,A4-04-EXPORT,A2-09-NCS-MAP,18,20,PASS,False,False
agent/p4-a1-reconcile-crawl-authority-v1,5508fce02ba5396b5d5a55870f1f879c1f32e8e0,92207e8fe7cc445c7426218da06b0b064f9df941,observed-dev-reconciliation-20260807.1,A1_RECON_20260807_01,P4_RAW_OBSERVED_20260806_01,A2-00-CONTRACT-AUDIT,A4-00-NCS-SOURCE,1,4,PASS,False,False
agent/p4-a1-reconcile-crawl-authority-v1,5508fce02ba5396b5d5a55870f1f879c1f32e8e0,92207e8fe7cc445c7426218da06b0b064f9df941,observed-dev-reconciliation-20260807.1,A1_RECON_20260807_01,P4_RAW_OBSERVED_20260806_01,A4-00-NCS-SOURCE,A4-01-CODESET,4,7,PASS,False,False
agent/p4-a1-reconcile-crawl-authority-v1,5508fce02ba5396b5d5a55870f1f879c1f32e8e0,92207e8fe7cc445c7426218da06b0b064f9df941,observed-dev-reconciliation-20260807.1,A1_RECON_20260807_01,P4_RAW_OBSERVED_20260806_01,A4-01-CODESET,A4-02-RETRIEVAL,7,11,PASS,False,False
agent/p4-a1-reconcile-crawl-authority-v1,5508fce02ba5396b5d5a55870f1f879c1f32e8e0,92207e8fe7cc445c7426218da06b0b064f9df941,observed-dev-reconciliation-20260807.1,A1_RECON_20260807_01,P4_RAW_OBSERVED_20260806_01,A2-05-REQUIREMENT,A4-03-MAP-OBSERVED,15,17,PASS,False,False
agent/p4-a1-reconcile-crawl-authority-v1,5508fce02ba5396b5d5a55870f1f879c1f32e8e0,92207e8fe7cc445c7426218da06b0b064f9df941,observed-dev-reconciliation-20260807.1,A1_RECON_20260807_01,P4_RAW_OBSERVED_20260806_01,A4-02-RETRIEVAL,A4-03-MAP-OBSERVED,11,17,PASS,False,False
agent/p4-a1-reconcile-crawl-authority-v1,5508fce02ba5396b5d5a55870f1f879c1f32e8e0,92207e8fe7cc445c7426218da06b0b064f9df941,observed-dev-reconciliation-20260807.1,A1_RECON_20260807_01,P4_RAW_OBSERVED_20260806_01,A4-03-MAP-OBSERVED,A4-04-EXPORT,17,18,PASS,False,False
agent/p4-a1-reconcile-crawl-authority-v1,5508fce02ba5396b5d5a55870f1f879c1f32e8e0,92207e8fe7cc445c7426218da06b0b064f9df941,observed-dev-reconciliation-20260807.1,A1_RECON_20260807_01,P4_RAW_OBSERVED_20260806_01,A4-04-EXPORT,A4-05-EVALUATE,18,19,PASS,False,False
agent/p4-a1-reconcile-crawl-authority-v1,5508fce02ba5396b5d5a55870f1f879c1f32e8e0,92207e8fe7cc445c7426218da06b0b064f9df941,observed-dev-reconciliation-20260807.1,A1_RECON_20260807_01,P4_RAW_OBSERVED_20260806_01,A2-05-REQUIREMENT,A2-10-EXPORT,15,21,PASS,False,False
agent/p4-a1-reconcile-crawl-authority-v1,5508fce02ba5396b5d5a55870f1f879c1f32e8e0,92207e8fe7cc445c7426218da06b0b064f9df941,observed-dev-reconciliation-20260807.1,A1_RECON_20260807_01,P4_RAW_OBSERVED_20260806_01,A2-06-DEDUP,A2-10-EXPORT,10,21,PASS,False,False
agent/p4-a1-reconcile-crawl-authority-v1,5508fce02ba5396b5d5a55870f1f879c1f32e8e0,92207e8fe7cc445c7426218da06b0b064f9df941,observed-dev-reconciliation-20260807.1,A1_RECON_20260807_01,P4_RAW_OBSERVED_20260806_01,A2-07-LABEL,A2-10-EXPORT,16,21,PASS,False,False
agent/p4-a1-reconcile-crawl-authority-v1,5508fce02ba5396b5d5a55870f1f879c1f32e8e0,92207e8fe7cc445c7426218da06b0b064f9df941,observed-dev-reconciliation-20260807.1,A1_RECON_20260807_01,P4_RAW_OBSERVED_20260806_01,A2-09-NCS-MAP,A2-10-EXPORT,20,21,PASS,False,False
agent/p4-a1-reconcile-crawl-authority-v1,5508fce02ba5396b5d5a55870f1f879c1f32e8e0,92207e8fe7cc445c7426218da06b0b064f9df941,observed-dev-reconciliation-20260807.1,A1_RECON_20260807_01,P4_RAW_OBSERVED_20260806_01,A2-10-EXPORT,A2-11-EXPORT-QA,21,22,PASS,False,False
